sample_id,sr_ca_measurement,sr_ca_precision
415175,0.53501,
415176,0.56298,
415177,0.56777,
415178,0.55886,
415179,0.59796,
415180,0.60171,
415181,0.60289,
415182,0.70353,
415183,0.54296,
415184,0.56037,
415185,0.60853,
415186,0.24459,
415187,0.5353,
415188,0.46411,
415189,0.49235,
415190,0.56519,
415191,0.5829,
415192,0.58976,
415193,0.45023,
415194,0.56191,
415195,0.54511,
415196,0.53583,
415197,0.35506,
415198,0.58766,
415199,0.49596,
415200,0.48109,
415201,0.27426,
415202,0.6529,
415203,0.52935,
415204,0.53286,
415205,0.52764,
415206,0.52171,
415207,0.62066,
415208,0.50764,
415209,0.70377,
415210,0.62173,
415211,0.66567,
415212,0.6038,
415213,0.59068,
415214,0.67815,
415215,0.60773,
415216,0.48277,
415217,0.59466,
415218,0.6016,
415219,0.53281,
415220,0.60383,
415221,0.54893,
415222,0.51526,
415223,0.58156,
415224,0.42735,
415225,0.61922,
415226,0.4004,
415227,0.53032,
415228,0.60073,
415229,0.5314,
415230,0.54152,
415231,0.4897,
415232,0.50087,
415233,0.31867,
415234,0.53814,
415235,0.45603,
415236,0.48351,
415237,0.5538,
415238,0.58799,
415239,0.55497,
415240,0.51187,
415241,0.52514,
415242,0.48156,
415243,0.54548,
415244,0.41956,
415245,0.28523,
415246,0.41205,
415247,0.60663,
415248,0.52669,
415249,0.28864,
415250,0.5033,
415251,0.61371,
415252,0.66938,
415253,0.57346,
415254,0.61684,
415255,0.6185,
415256,0.57382,
415257,0.51533,
415258,0.62279,
415259,0.61042,
415260,0.57755,
415261,0.57669,
415262,0.56917,
415263,0.52113,
415264,0.57875,
415265,0.52654,
415266,0.63825,
415267,0.49001,
415268,0.49504,
415269,0.58456,
415270,0.58727,
415271,0.38226,
415272,0.58899,
415273,0.42656,
415274,0.62526,
415275,0.61714,
415276,0.67453,
415277,0.62948,
415278,0.53017,
415279,0.64867,
415280,0.65573,
415281,0.75391,
415282,0.58361,
415283,0.6043,
415284,0.61049,
415285,0.58045,
415286,0.71712,
415287,0.73641,
415288,0.66397,
415289,0.58323,
415290,0.62335,
415291,0.54613,
415292,0.642,
415293,0.54964,
415294,0.52096,
415295,0.51548,
415296,0.50734,
415297,0.46526,
415298,0.46962,
415299,0.53373,
415300,0.4287,
415301,0.55475,
415302,0.32681,
415303,0.52962,
415304,0.50551,
415305,0.63085,
415306,0.57468,
415307,0.52367,
415308,0.47774,
415309,0.52069,
415310,0.45389,
415311,0.5196,
415312,0.42823,
415313,0.25798,
415314,0.48573,
415315,0.48805,
415316,0.55311,
415317,0.45194,
415318,0.5818,
415319,0.37075,
415320,0.3306,
415321,0.61815,
415322,0.52753,
415323,0.44466,
415324,0.59783,
415325,0.46908,
415326,0.50939,
415327,0.42073,
415328,0.46397,
415329,0.50621,
415330,0.62128,
415331,0.47213,
415332,0.46799,
415333,0.40644,
415334,0.48643,
415335,0.63906,
415336,0.43652,
415337,0.4099,
415338,0.46187,
415339,0.53697,
415340,0.60952,
415341,0.53541,
415342,0.63132,
415343,0.585,
415344,0.57522,
415345,0.55197,
415346,0.51554,
415347,0.56472,
415348,0.5881,
415349,0.45795,
415350,0.49354,
415351,0.50086,
415352,0.54232,
415353,0.46749,
415354,0.66308,
415355,0.3911,
415356,0.57487,
415357,0.70029,
415358,0.71497,
415359,0.63079,
415360,0.81024,
415361,0.67812,
415362,0.66077,
415363,0.7622,
415364,0.75992,
415365,0.72431,
415366,0.6468,
415367,0.56263,
415368,0.65442,
415369,0.62352,
415370,0.65123,
415371,0.77383,
415372,0.87679,
415373,0.63423,
415374,0.68818,
415375,0.67789,
415376,0.58258,
415377,0.7193,
415378,0.60301,
415379,0.6159,
415380,0.73001,
415381,0.6339,
415382,0.89877,
415383,0.82314,
415384,0.97832,
415385,0.81051,
415386,0.80037,
415387,1.09412,
415388,0.77223,
415389,0.82581,
415390,0.71001,
415391,0.44669,
415392,0.61801,
415393,0.85434,
415394,0.68997,
415395,0.68242,
415396,0.72342,
415397,0.59634,
415398,0.69849,
415399,0.65457,
415400,0.42462,
415401,0.60766,
415402,0.74649,
415403,0.4828,
415404,0.73006,
415405,0.74052,
415406,0.83717,
415407,0.51733,
415408,0.61631,
415409,0.6918,
415410,0.63474,
415411,0.60608,
415412,0.63204,
415413,0.69031,
415414,0.7472,
415415,0.8837,
415416,0.60298,
415417,0.56768,
415418,0.56079,
415419,0.57365,
415420,0.3852,
415421,0.56158,
415422,0.47348,
415423,0.57391,
415424,0.60483,
415425,0.4712,
415426,0.58668,
415427,0.53841,
415428,0.42505,
415429,0.45412,
415430,0.45733,
415431,0.50046,
415432,0.50503,
415433,0.66764,
415434,0.60627,
415435,0.57507,
415436,0.4587,
415437,0.57273,
415438,0.51629,
415439,0.46178,
415440,0.46482,
415441,0.65508,
415442,0.49393,
415443,0.58184,
415444,0.51258,
415445,0.50415,
415446,0.16246,
415447,0.43554,
415448,0.48936,
415449,0.25394,
415450,0.48641,
415451,0.46434,
415452,0.49102,
415453,0.43859,
415454,0.46742,
415455,0.43508,
415456,0.53995,
415457,0.41751,
415458,0.50935,
415459,0.38655,
415460,0.39155,
415461,0.44104,
415462,0.56269,
415463,0.55069,
415464,0.45244,
415465,0.54665,
415466,0.58975,
415467,0.41213,
415468,0.56911,
415469,0.44825,
415470,0.45272,
415471,0.49134,
415472,0.54921,
415473,0.46407,
415474,0.40587,
415475,0.47433,
415476,0.55213,
415477,0.6091,
415478,0.53882,
415479,0.50568,
415480,0.43357,
415481,0.50378,
415482,0.52063,
415483,0.45083,
415484,0.3823,
415485,0.68119,
415486,0.43202,
415487,0.58525,
415488,0.4617,
415489,0.43354,
415490,0.39832,
415491,0.57476,
415492,0.53392,
415493,0.42994,
415494,0.41843,
415495,0.42144,
415496,0.53224,
415497,0.48375,
415498,0.61727,
415499,0.53605,
415500,0.59525,
415501,0.52138,
415502,0.4816,
415503,0.47912,
415504,0.60097,
415505,0.5377,
415506,0.54426,
415507,0.503,
415508,0.64854,
415509,0.72532,
415510,0.54923,
415511,0.63854,
415512,0.65327,
415513,0.59441,
415514,0.54431,
415515,0.80767,
415516,0.71154,
415517,0.65512,
415518,0.70362,
415519,0.66882,
415520,0.67156,
415521,0.7052,
415522,0.56377,
415523,0.726,
415524,0.64458,
415525,0.78129,
415526,0.79961,
415527,0.67679,
415528,0.81366,
415529,0.54519,
415530,0.72237,
415531,0.77445,
415532,0.84258,
415533,0.71457,
415534,0.43307,
415535,0.64257,
415536,0.7176,
415537,0.78533,
415538,0.59453,
415539,0.69728,
415540,0.89465,
415541,0.61443,
415542,0.64856,
415543,0.69655,
415544,0.69042,
415545,0.70526,
415546,0.65886,
415547,0.82371,
415548,0.66629,
415549,0.80393,
415550,0.71708,
415551,0.83604,
415552,0.72134,
415553,0.61774,
415554,0.54631,
415555,0.65095,
415556,0.7548,
415557,0.78714,
415558,0.70285,
415559,0.64526,
415560,0.47839,
415561,0.63445,
415562,0.5461,
415563,0.78894,
415564,0.70353,
415565,0.57113,
415566,0.66151,
415567,0.8859,
415568,0.68253,
415569,0.64991,
415570,0.93272,
415571,0.7813,
415572,0.67055,
415573,0.5752,
415574,0.65918,
415575,0.69623,
415576,0.69607,
415577,1.11707,
415578,0.72579,
415579,0.9339,
415580,0.37805,
415581,0.71741,
415582,0.75697,
415583,0.70248,
415584,0.72567,
415585,1.25151,
415586,0.76531,
415587,0.68178,
415588,0.60278,
415589,0.88879,
415590,0.77672,
415591,0.59804,
415592,0.38871,
415593,0.56866,
415594,0.49224,
415595,0.54906,
415596,0.57597,
415597,0.60797,
415598,0.39008,
415599,0.64036,
415600,0.49712,
415601,0.49667,
415602,0.51763,
415603,0.48905,
415604,0.55341,
415605,0.49217,
415606,0.45083,
415607,0.44097,
415608,0.43284,
415609,0.50374,
415610,0.42792,
415611,0.43158,
415612,0.48192,
415613,0.50078,
415614,0.36942,
415615,0.3959,
415616,0.53517,
415617,0.4857,
415618,0.56897,
415619,0.40827,
415620,0.53216,
415621,0.48649,
415622,0.47368,
415623,0.48294,
415624,0.45631,
415625,0.52928,
415626,0.66159,
415627,0.58715,
415628,0.36401,
415629,0.53782,
