ref_id,citation,publication_doi
303,"Dykoski, C. A., Edwards, R. L., Cheng, H., Yuan, D., Cai, Y., Zhang, M., Lin, Y., Qing, J., An, Z. and Revenaugh, J.: A high-resolution, absolute-dated Holocene and deglacial Asian monsoon record from Dongge Cave, China, Earth Planet. Sci. Lett., 233(1–2), 71–86, 2005.",10.1016/j.epsl.2005.01.036
332,"Wang, Y., Cheng, H., Edwards, R. L., Kong, X., Shao, X., Chen, S., Wu, J., Jiang, X., Wang, X. and An, Z.: Millennial- and orbital-scale changes in the East Asian monsoon over the past 224,000 years, Nature, 451(7182), 1090–1093, 2008.",10.1038/nature06692
347,"Stríkis, N. M., Cruz, F. W., Barreto, E. A. S., Naughton, F., Vuille, M., Cheng, H., Voelker, A. H. L., Zhang, H., Karmann, I., Edwards, R. L., Auler, A. S., Santos, R. V. and Sales, H. R.: South American monsoon response to iceberg discharge in the North Atlantic., Proc. Natl. Acad. Sci. U. S. A., 115(15), 3788–3793, 2018.",10.1073/pnas.1717784115
388,"Denniston, R. F., Houts, A. N., Asmerom, Y., Wanamaker, A. D., Haws, J. A., Polyak, V. J., Thatcher, D. L., Altan-Ochir, S., Borowske, A. C., Breitenbach, S. F. M., Ummenhofer, C. C., Regala, F. T., Benedetti, M. M. and Bicho, N.: A Stalagmite Test of North Atlantic SST and Iberian Hydroclimate Linkages over the Last Two Glacial Cycles, Clim. Past Discuss., 1–39, 2017.",10.5194/cp-2017-146
409,"Kanner, L. C., Burns, S. J., Cheng, H., Edwards, R. L. and Vuille, M.: High-resolution variability of the South American summer monsoon over the last seven millennia: insights from a speleothem record from the central Peruvian Andes, Quat. Sci. Rev., 75, 1–10, 2013.",10.1016/j.quascirev.2013.05.008
410,"Burns, S. J., Welsh, L. K., Scroxton, N., Cheng, H. and Edwards, R. L.: Millennial and orbital scale variability of the South American Monsoon during the penultimate glacial period, Sci. Rep., 9(1), 1234, 2019.",10.1038/s41598-018-37854-3
430,"Tzedakis, P. C., Drysdale, R. N., Margari, V., Skinner, L. C., Menviel, L., Rhodes, R. H., Taschetto, A. S., Hodell, D. A., Crowhurst, S. J., Hellstrom, J. C., Fallick, A. E., Grimalt, J. O., McManus, J. F., Martrat, B., Mokeddem, Z., Parrenin, F., Regattieri, E., Roe, K. and Zanchetta, G.: Enhanced climate instability in the North Atlantic and southern Europe during the Last Interglacial, Nat. Commun., 9(1), 4235, 2018.",10.1038/s41467-018-06683-3
431,"Isola, I., Zanchetta, G., Drysdale, R. N., Regattieri, E., Bini, M., Bajo, P., Hellstrom, J. C., Baneschi, I., Lionello, P., Woodhead, J. and Greig, A.: The 4.2 ka event in the central Mediterranean: New data from a Corchia speleothem (Apuan Alps, central Italy), Clim. Past, 15(1), 135–151, 2019.",10.5194/cp-15-135-2019
458,"Cruz, FW, Burn, SJ, Jercinovic, M, Karmann, I, Sharp, WD, Vuille, M, 2007, Evidence of rainfall variations in Southern Brazil from trace element rations (Mg/Ca and Sr/Ca) in a Late Pleistocene stalagmite, Geochimica et Cosmochimica Acta, 71, 2250-2263.",10.1016/j.gca.2007.02.005
459,"Drysdale, R., Couchoud, I., Zanchetta, G., Isola, I., Regattieri, E., Hellstrom, J., Govin, A., Tzedakis, P.C., Ireland, T., Corrick, E. and Greig, A., 2020. Magnesium in subaqueous speleothems as a potential palaeotemperature proxy. Nature communications, 11(1), pp.1-11.",10.1038/s41467-020-18083-7
462,"Kelly M., Edwards R.L., Cheng H., Yuan D., Cai Y., Zhang M., Lin Y., An Z., 2005, High resolution characterization of the Asian Monsoon between 146,000 and 99,000 years B.P. from Dongge Cave, China and global correlation of events surrounding Termination II, Palaeogeography, Palaeoclimatology, Palaeoecology.",10.1016/j.palaeo.2005.11.042
464,"Cheng, Hai, Yao Xu, Xiyu Dong, Jingyao Zhao, Hanying Li, Jonathan Baker, Ashish Sinha et al. Onset and termination of Heinrich Stadial 4 and the underlying climate dynamics. Communications Earth & Environment 2, no. 1 (2021): 1-11.",10.1038/s43247-021-00304-6
466,"Novello, V.F., Cruz, F.W., McGlue, M.M.; Wong, C.I., Ward, B.M., Vuille, M., Santo, R.A., Jaqueto, P., Pessenda, L.C.R., Atorre, T., Ribeiro, L.M.A.L., Karmann, I., Barreto, E., Cheng, H., Edwards, R.L., Paula, M.S., Scholz, D., 2019, Vegetation and environmental changes in tropical South America from the last glacial to the Holocene documented by multiple ca sediment proxies, Earth and Planetary Science Letters, 524, 115717.",10.1016/j.epsl.2019.115717
467,"Azevedo, V., Strikis, N.M., Novello, V.F., Roland, C.L., Cruz, F.W., Santos, R.V., Vuille, M., Utida, G., De Andrade, F.R.D., Cheng, H. and Edwards, R.L., 2021. Paleovegetation seesaw in Brazil since the Late Pleistocene: A multiproxy study of two biomes. Earth and Planetary Science Letters, 563, p.116880.",10.1016/j.epsl.2021.116880
476,"Wendt, K. A., Xianglei, L., Lawrence Edwards, R., Cheng, H., Spötl, C., 2021, Precise timing of MIS 7 substages from the Austrian Alps, Clim. Past, 17, 1443–1454.",10.5194/cp-17-1443-2021
477,"Welte, C., Fohlmeister, J., Wertnik, M., Wacker, L., Hattendorf, B., Eglinton, T. I., & Spötl, C.: Climatic variations during the Holocene inferred from radiocarbon and stable carbon isotopes in speleothems from a high-alpine cave. Climate of the Past, 17(5), 2165-2177, 2021.",10.5194/cp-17-2165-2021
514,"Cheng, H., Edwards, R.L., Broecker, W.S., Denton, G.H., Kong, X., Wang, Y., Zhang, R., Wang, X. 2009. Ice Age Terminations. Science, 326, 248-251.",10.1126/science.1177840
