sample_id,mg_ca_measurement,mg_ca_precision
415152,34.50176,
415153,33.25744,
415154,29.83332,
415155,33.20837,
415156,32.89179,
415157,30.65343,
415158,40.8917,
415159,30.67834,
415160,28.72465,
415161,25.40413,
415162,33.84249,
415163,29.31154,
415164,27.98995,
415165,32.31751,
415166,30.36429,
415167,30.02387,
415168,31.29907,
415169,26.40244,
415170,32.58244,
415171,28.50227,
415172,30.9264,
415173,23.97757,
415174,27.63087,
415175,29.6945,
415176,27.00282,
415177,28.82366,
415178,28.17421,
415179,30.2621,
415180,29.51967,
415181,27.7419,
415182,29.59516,
415183,26.43408,
415184,26.00854,
415185,28.16812,
415186,27.50231,
415187,28.10011,
415188,27.72404,
415189,26.03831,
415190,29.17982,
415191,24.06466,
415192,23.18061,
415193,23.99171,
415194,26.38954,
415195,24.23984,
415196,23.92704,
415197,26.33135,
415198,25.98103,
415199,23.27059,
415200,23.85811,
415201,28.3382,
415202,30.15289,
415203,28.64609,
415204,28.09505,
415205,26.62298,
415206,27.85697,
415207,31.10526,
415208,25.4419,
415209,30.32744,
415210,33.06546,
415211,27.63977,
415212,28.9671,
415213,26.80623,
415214,29.19939,
415215,26.927,
415216,26.00601,
415217,26.71396,
415218,26.9483,
415219,27.12653,
415220,31.10744,
415221,25.82419,
415222,24.9449,
415223,27.08362,
415224,27.63944,
415225,29.85581,
415226,31.71123,
415227,26.78424,
415228,27.63657,
415229,26.37543,
415230,30.25394,
415231,24.94587,
415232,26.01718,
415233,29.78997,
415234,25.90766,
415235,22.87623,
415236,26.45746,
415237,29.37944,
415238,28.84716,
415239,27.05939,
415240,32.23739,
415241,25.83765,
415242,24.35562,
415243,26.54437,
415244,24.68997,
415245,22.42876,
415246,22.55459,
415247,29.41813,
415248,29.08954,
415249,26.63025,
415250,29.71099,
415251,28.44372,
415252,26.38148,
415253,26.49882,
415254,31.28579,
415255,27.52832,
415256,31.99028,
415257,29.86907,
415258,31.1119,
415259,28.40998,
415260,31.01432,
415261,31.4969,
415262,28.60327,
415263,30.20295,
415264,28.42456,
415265,33.57062,
415266,21.37131,
415267,27.94243,
415268,30.1492,
415269,27.20224,
415270,26.20475,
415271,24.96369,
415272,23.94802,
415273,24.72608,
415274,25.81331,
415275,25.51525,
415276,29.42861,
415277,27.90972,
415278,28.38092,
415279,27.33036,
415280,28.51919,
415281,29.9455,
415282,24.99698,
415283,26.00225,
415284,25.98314,
415285,28.5746,
415286,26.59348,
415287,27.2607,
415288,29.90627,
415289,28.23077,
415290,23.6239,
415291,27.85345,
415292,28.5256,
415293,22.9271,
415294,24.72289,
415295,27.94254,
415296,24.03502,
415297,23.77476,
415298,24.45586,
415299,25.21478,
415300,23.16597,
415301,23.94335,
415302,24.30253,
415303,25.54148,
415304,28.78655,
415305,25.33984,
415306,26.00836,
415307,30.08224,
415308,24.34132,
415309,26.86739,
415310,24.31511,
415311,22.80636,
415312,23.43286,
415313,25.34092,
415314,26.21818,
415315,27.39803,
415316,32.59273,
415317,29.48035,
415318,29.28532,
415319,22.9824,
415320,33.62143,
415321,28.49187,
415322,27.14806,
415323,28.85886,
415324,27.64543,
415325,30.84375,
415326,25.66599,
415327,27.05605,
415328,32.33051,
415329,24.90289,
415330,32.16343,
415331,28.42777,
415332,31.41625,
415333,32.06699,
415334,32.54298,
415335,28.06936,
415336,26.652,
415337,27.8718,
415338,25.83501,
415339,29.55681,
415340,31.52676,
415341,35.91878,
415342,30.71283,
415343,27.33967,
415344,32.54335,
415345,30.10028,
415346,32.80377,
415347,30.07379,
415348,35.99019,
415349,32.20284,
415350,29.7859,
415351,26.6805,
415352,26.11254,
415353,28.69118,
415354,32.40931,
415355,26.26342,
415356,27.52201,
415357,26.00953,
415358,34.74158,
415359,29.92587,
415360,26.50594,
415361,28.79906,
415362,28.78409,
415363,28.12006,
415364,29.57553,
415365,28.34444,
415366,35.50602,
415367,24.94776,
415368,35.91564,
415369,30.91201,
415370,30.52818,
415371,27.51621,
415372,31.49232,
415373,25.2415,
415374,26.7885,
415375,28.49343,
415376,24.53477,
415377,27.47699,
415378,31.31773,
415379,31.60107,
415380,28.62856,
415381,32.60293,
415382,30.79306,
415383,28.12802,
415384,38.30311,
415385,29.29539,
415386,28.3259,
415387,33.43788,
415388,32.57215,
415389,29.94629,
415390,30.52973,
415391,31.57298,
415392,28.06723,
415393,30.67205,
415394,31.4392,
415395,42.66628,
415396,28.65415,
415397,33.66626,
415398,38.43825,
415399,30.35147,
415400,31.57316,
415401,30.64691,
415402,29.51479,
415403,33.44443,
415404,29.22511,
415405,30.13881,
415406,31.31023,
415407,27.94716,
415408,31.07311,
415409,38.22919,
415410,30.82198,
415411,30.49484,
415412,29.01973,
415413,29.53801,
415414,31.42239,
415415,37.27013,
415416,36.5729,
415417,28.48568,
415418,26.39553,
415419,34.8959,
415420,33.30644,
415421,32.32069,
415422,31.92343,
415423,30.0741,
415424,28.83641,
415425,28.56257,
415426,28.133,
415427,27.79354,
415428,28.61586,
415429,26.76024,
415430,26.42321,
415431,28.7975,
415432,28.09434,
415433,25.83184,
415434,34.84399,
415435,28.11165,
415436,25.03962,
415437,25.49996,
415438,26.93361,
415439,25.49621,
415440,25.55588,
415441,27.18182,
415442,24.72974,
415443,24.59684,
415444,24.49086,
415445,24.66348,
415446,25.06007,
415447,25.05424,
415448,23.00626,
415449,22.63496,
415450,22.63382,
415451,23.34248,
415452,26.35327,
415453,25.77014,
415454,27.55473,
415455,23.84523,
415456,22.30676,
415457,25.82134,
415458,22.622,
415459,22.69945,
415460,24.25122,
415461,23.71117,
415462,27.88367,
415463,24.71716,
415464,25.34558,
415465,23.59656,
415466,24.56445,
415467,24.20156,
415468,24.56701,
415469,26.044,
415470,25.62289,
415471,21.5544,
415472,23.46884,
415473,23.17599,
415474,23.57674,
415475,22.76724,
415476,22.93633,
415477,23.65609,
415478,23.65144,
415479,24.15065,
415480,24.5843,
415481,23.70235,
415482,19.88811,
415483,24.09567,
415484,24.13362,
415485,21.09285,
415486,25.00582,
415487,21.92855,
415488,22.96043,
415489,23.5287,
415490,23.64069,
415491,22.33571,
415492,23.95659,
415493,22.10803,
415494,21.99344,
415495,21.03998,
415496,21.19132,
415497,26.80216,
415498,25.63157,
415499,31.42442,
415500,27.93246,
415501,27.26161,
415502,27.84293,
415503,31.89355,
415504,26.38321,
415505,26.24147,
415506,27.94257,
415507,25.04904,
415508,28.00215,
415509,34.07948,
415510,40.97214,
415511,27.15653,
415512,33.22444,
415513,27.60182,
415514,30.16714,
415515,32.55291,
415516,31.0397,
415517,29.46168,
415518,34.94291,
415519,33.04095,
415520,27.69004,
415521,28.83632,
415522,29.24765,
415523,31.46406,
415524,38.97552,
415525,31.05035,
415526,28.31,
415527,36.97621,
415528,34.11368,
415529,32.97526,
415530,37.5841,
415531,28.3334,
415532,33.29621,
415533,26.90439,
415534,28.3043,
415535,25.99533,
415536,28.38578,
415537,30.41286,
415538,36.12668,
415539,27.91585,
415540,28.3493,
415541,35.4963,
415542,27.32622,
415543,31.34919,
415544,33.00475,
415545,35.20336,
415546,33.26777,
415547,33.60417,
415548,38.03502,
415549,28.59168,
415550,28.52202,
415551,27.48419,
415552,37.52214,
415553,31.2646,
415554,30.3208,
415555,30.71901,
415556,28.16664,
415557,37.16446,
415558,35.41537,
415559,30.73601,
415560,31.97123,
415561,27.99397,
415562,28.31026,
415563,23.63682,
415564,27.5705,
415565,26.08107,
415566,29.63004,
415567,27.16341,
415568,29.37913,
415569,27.89144,
415570,31.69776,
415571,36.40279,
415572,27.79724,
415573,28.09329,
415574,29.01283,
415575,35.85009,
415576,29.34023,
415577,28.91259,
415578,28.0721,
415579,28.44185,
415580,33.55857,
415581,25.8342,
415582,26.13789,
415583,35.56197,
415584,31.33494,
415585,34.69604,
415586,47.21671,
415587,31.2955,
415588,29.23917,
415589,28.65963,
415590,27.15203,
415591,35.76291,
415592,31.88812,
415593,37.39659,
415594,35.3636,
415595,35.82186,
415596,25.88531,
415597,26.65405,
415598,27.28302,
415599,23.94143,
415600,26.67084,
415601,27.54648,
415602,35.6151,
415603,24.77443,
415604,33.92905,
415605,25.81537,
415606,29.1699,
415607,25.23875,
415608,25.76022,
415609,27.96543,
415610,23.80397,
415611,39.65038,
415612,35.41643,
415613,29.14895,
415614,29.60188,
415615,26.03752,
415616,28.24345,
415617,27.04935,
415618,32.8563,
415619,26.39017,
415620,27.61927,
415621,28.77785,
415622,26.74124,
415623,27.59497,
415624,25.90528,
415625,23.58895,
415626,26.63566,
415627,30.14704,
415628,25.76843,
415629,29.18235,
415630,33.35491,
415631,21.24832,
415632,27.15167,
415633,28.23802,
415634,34.04566,
415644,0.0567383126475823,
415645,0.0562212383110614,
415646,0.0557889302592161,
415647,0.0561407103406196,
415648,0.0562042850541263,
415649,0.057696171664416,
415650,0.0569629433019725,
415651,0.0577639846921565,
415652,0.0576749800932471,
415653,0.0577851762633254,
415654,0.0562593831391654,
415655,0.0558525049727227,
415656,0.0543818099336019,
415657,0.0528136336671041,
415658,0.0554964865770854,
415659,0.0538816888540161,
415660,0.0533603762032614,
415661,0.054589487331057,
415662,0.0558779348581254,
415663,0.0561619019117885,
415664,0.0536612965138596,
415665,0.0546403471018623,
415666,0.0546106789022259,
415667,0.0545004827321476,
415668,0.0551107999818116,
415669,0.0525339049276748,
415670,0.0535383854010801,
415671,0.0536782497707948,
415672,0.0541614175934454,
415673,0.0537418244843014,
415674,0.0538604972828472,
415675,0.0546361087876285,
415676,0.0549158375270579,
415677,0.0535807685434179,
415678,0.0545852490168232,
415679,0.0538223524547432,
415680,0.0542504221923547,
415681,0.0517710083655948,
415682,0.0521694099035699,
415683,0.0515675692823735,
415684,0.0514531347980615,
415685,0.0515463777112046,
415686,0.0485371746052224,
415687,0.0471936289931149,
415688,0.0436037768371051,
415689,0.0450617569335247,
415690,0.0430104128443762,
415691,0.0395858549434839,
415692,0.0393400327179247,
415693,0.0394078457456652,
415694,0.0401453124223425,
415695,0.0397596258270687,
415696,0.0375260342258679,
415697,0.0349364242290297,
415698,0.0353390640812386,
415699,0.0366910863218137,
415700,0.0365088388097612,
415701,0.0355467414786937,
415702,0.0377972863368297,
415703,0.0377167583663879,
415704,0.0376743752240501,
415705,0.0384923698711692,
415706,0.0375302725401017,
415707,0.0361189139002537,
415708,0.0395858549434839,
415709,0.0388356733241052,
415710,0.0452524810740447,
415711,0.0371530625732954,
415712,0.0378311928506999,
415713,0.0364325491535532,
415714,0.0386068043554812,
415715,0.0391747384628074,
415716,0.0408403959566821,
415717,0.0415609093764243,
415718,0.0353814472235764,
415719,0.0356187928206679,
415720,0.0350805269129781,
415721,0.0331309023654404,
415722,0.0363011614123061,
415723,0.0375472257970368,
415724,0.0383906503295585,
415725,0.0412006526665532,
415726,0.0401325974796412,
415727,0.0351907230830564,
415728,0.0356993207911097,
415729,0.0381956878748048,
415730,0.0392425514905479,
415731,0.0394163223741327,
415732,0.0398443921117443,
415733,0.0387975284960012,
415734,0.0379117208211417,
415735,0.039183215091275,
415736,0.0384711783000003,
415737,0.0373649782849843,
415738,0.0397977706551727,
415739,0.038649187497819,
415740,0.0367970441776581,
415741,0.0392086449766776,
415742,0.0389034863518456,
415743,0.0378311928506999,
415744,0.0377209966806217,
415745,0.0381490664182332,
415746,0.0360807690721497,
415747,0.0385898510985461,
415748,0.0388738181522092,
415749,0.0411201246961114,
415750,0.0416541522895674,
415751,0.038839911638339,
415752,0.0384076035864937,
415753,0.0389712993795861,
415754,0.0391577852058723,
415755,0.0410311200972021,
415756,0.0400690227661345,
415757,0.0568103639895565,0.000908965823832904
415758,0.0563314344811396,0.000901302951698234
415759,0.0482108244092215,0.000771373190547544
415760,0.042671347705674,0.000682741563290785
415761,0.0430104128443762,0.00068816660551002
415762,0.0412557507515923,0.000660092012025476
415763,0.0419677875428669,0.000671484600685871
415764,0.0416541522895674,0.000666466436633078
415765,0.0390052058934563,0.000624083294295301
415766,0.0438962205192358,0.000702339528307773
415767,0.0453075791590838,0.00072492126654534
415768,0.0482998290081308,0.000772797264130093
415769,0.0482659224942606,0.00077225475990817
415770,0.0480540067825717,0.000768864108521148
415771,0.0456212144123833,0.000729939430598133
415772,0.0470791945088029,0.000753267112140846
415773,0.0484863148344171,0.000775781037350673
415774,0.0483549270931699,0.000773678833490719
415775,0.0471597224792446,0.000754555559667914
415776,0.0477403715292722,0.000763845944468355
415777,0.049249211396497,0.000787987382343953
415778,0.0497281409049139,0.000795650254478623
415779,0.0551743746953183,0.000882789995125093
415780,0.0520464987907903,0.000832743980652645
415781,0.0550429869540712,0.000880687791265139
415782,0.0500248229012784,0.000800397166420454
415783,0.0421288434837505,0.000674061495740008
415784,0.0368521422626972,0.000589634276203156
415785,0.0387848135532999,0.000620557016852798
415786,0.0379752955346483,0.000607604728554373
415787,0.0399164434537185,0.000638663095259496
415788,0.0397341959416661,0.000635747135066657
415789,0.0394375139453016,0.000631000223124826
415790,0.0402300787070181,0.000643681259312289
415791,0.0458670366379424,0.000733872586207079
415792,0.0495374167643939,0.000792598668230303
415793,0.0451761914178367,0.000722819062685387
415794,0.0440360848889505,0.000704577358223207
415795,0.044845602907602,0.000717529646521632
415796,0.0453330090444864,0.000725328144711783
415797,0.0408658258420847,0.000653853213473356
415798,0.0427900205042198,0.000684640328067517
415799,0.0429807446447398,0.000687691914315837
415800,0.049554370021329,0.000792869920341265
415801,0.0483803569785726,0.000774085711657162
415802,0.039068780606963,0.000625100489711408
415803,0.04129813389393,0.000660770142302881
415804,0.0401537890508101,0.000642460624812961
415805,0.0397638641413025,0.00063622182626084
415806,0.0427900205042198,0.000684640328067517
415807,0.044578589110874,0.000713257425773984
415808,0.0467655592555033,0.000748248948088053
415809,0.0459772328080207,0.00073563572492833
415810,0.0416075308329958,0.000665720493327933
415811,0.0445743507966402,0.000713189612746244
415812,0.0483930719212739,0.000774289150740383
415813,0.0502918366980064,0.000804669387168102
415814,0.047477596046778,0.000759641536748447
415815,0.0494145056516144,0.00079063209042583
415816,0.0517752466798286,0.000828403946877257
415817,0.0527331056966623,0.000843729691146597
415818,0.0541487026507441,0.000866379242411905
415819,0.0455873078985131,0.00072939692637621
415820,0.0422559929107638,0.000676095886572221
415821,0.0409505921267603,0.000655209474028165
415822,0.0380982066474279,0.000609571306358846
415823,0.0394756587734056,0.00063161054037449
415824,0.0418957362008927,0.000670331779214283
415825,0.0430824641863505,0.000689319426981607
