site_id,site_name,screened,isArchaeologicalSite,arch_category,arch_broader_context,arch_note,arch_confidence,wikidata_qid,osm_id,osm_type,osm_url,isUNESCO,unesco_wh_id
48,Leviathan cave,true,false,,,,,,,,,no,
49,McLean's cave,true,false,,,,,,,,,no,
53,Pippikin Pot cave,true,false,,,,,,,,,no,
54,Sahiya cave,true,false,,,,,,,,,no,
55,Sieben Hengste cave,true,false,,,,,,,,,no,
56,Skala Marion cave,true,false,,,,,,,,,no,
57,Soylegrotta cave,true,false,,,,,,,,,no,
58,Spannagel cave,true,false,,,,,,,,,no,
59,Suozi cave,true,false,,,,,,,,,no,
60,Taurius cave,true,false,,,,,,,,,no,
61,Timta cave,true,false,,,,,,,,,no,
62,Torrinha cave,true,false,,,,,,,,,no,
63,Tzabnah cave,true,false,,,,,,,,,no,
64,Wah Shikhar cave,true,false,,,,,,,,,no,
65,Whiterock cave,true,false,,,,,,,,,no,
66,White Scar cave,true,false,,,,,,,,,no,
67,Clearwater/Wind caves connection,true,true,Prehistoric Occupation,PrehistoricContext,Mulu – prehistoric finds,high,Q1092810,,,,yes,709
69,Xinglong cave,true,false,,,,,,,,,no,
70,Abaco Island cave,true,false,,,,,,,,,no,
71,Baradla cave,true,true,Neolithic / Bronze Age,PrehistoricContext,"Neolithic–Bronze Age finds, UNESCO World Heritage",high,Q816830,,,,yes,171
72,Ascunsa cave,true,false,,,,,,,,,no,
73,Bourgeois–Delaunay cave,true,true,Palaeolithic Occupation,PalaeolithicContext,"La Chaise, Palaeolithic hominin remains",high,Q2968020,,,,no,
74,Cango cave,true,false,,,,,,,,,no,
77,Chauvet cave,true,true,Palaeolithic Art,PalaeolithicContext,"UNESCO World Heritage, ~36,000 BP cave paintings",high,Q191483,,,,yes,1426
78,Chilibrillo cave,true,false,,,,,,,,,no,
79,Dim cave,true,false,,,,,,,,,no,
80,Furong cave,true,false,,,,,,,,,no,
81,Gueldaman cave,true,true,Neolithic / Protohistoric,PrehistoricContext,Neolithic artefacts,high,Q16838232,,,,no,
82,Hollywood cave,true,false,,,,,,,,,no,
83,La Mine cave,true,false,,,,,,,,,no,
84,Leány cave,true,false,,,,,,,,,no,
85,Macal Chasm,true,false,,,,,,,,,no,
86,Modric cave,true,false,,,,,,,,,no,
87,Pindal cave,true,true,Palaeolithic Art,PalaeolithicContext,"Rock art, Asturias",high,Q1665461,,,,yes,714
90,Trió cave,true,false,,,,,,,,,no,
91,Ursilor cave,true,false,,,,,,,,,no,
94,Anjohibe,true,false,,,,,,,,,no,
95,Brown's cave,true,false,,,,,,,,,no,
97,Bue Marino cave,true,false,,,,,,,,,no,
98,Crag cave,true,false,,,,,,,,,no,
99,Dante cave,true,false,,,,,,,,,no,
100,Katerloch cave,true,false,,,,,,,,,no,
101,Klapferloch cave,true,false,,,,,,,,,no,
102,Korallgrottan cave,true,false,,,,,,,,,no,
103,Lapa Doce cave,true,false,,,,,,,,,no,
104,Liang Luar,true,true,Hominin Site,PalaeontologicalContext,Type site for Homo floresiensis,high,Q1847377,,,,no,
105,Schneckenloch cave,true,false,,,,,,,,,no,
106,Seso cave,true,false,,,,,,,,,no,
107,Yok Balum cave,true,false,,,,,,,,,no,
108,Clamouse cave,true,true,Palaeolithic Occupation,PalaeolithicContext,Prehistoric occupation,high,Q1060261,,,,no,
109,Molinos cave,true,false,,,,,,,,,no,
111,Rainha cave,true,false,,,,,,,,,no,
112,Xinya cave,true,false,,,,,,,,,no,
113,Paixão cave,true,false,,,,,,,,,no,
115,Hölloch im Mahdtal,true,false,,,,,,,,,no,
116,Bukit Assam cave,true,false,,,,,,,,,no,
117,Bunker cave,true,false,,,,,,,,,no,
118,Clearwater cave,true,true,Prehistoric Occupation,PrehistoricContext,"Prehistoric finds, Mulu",high,Q1092810,,,,yes,709
120,Ejulve cave,true,false,,,,,,,,,no,
121,Entrische Kirche cave,true,false,,,,,,,,,no,
122,Heshang cave,true,false,,,,,,,,,no,
123,Milchbach cave,true,false,,,,,,,,,no,
127,Xiaobailong cave,true,false,,,,,,,,,no,
128,Buckeye creek,true,false,,,,,,,,,no,
129,Grotta di Carburangeli,true,false,,,,,,,,,no,
130,Dandak cave,true,false,,,,,,,,,no,
132,Kleegruben cave,true,false,,,,,,,,,no,
133,Buca della Renella,true,false,,,,,,,,,no,
134,Cave of the Bells,true,false,,,,,,,,,no,
135,Grotte de Piste,true,true,Prehistoric Art,PrehistoricContext,Prehistoric rock art,medium,,,,,no,
136,Juxtlahuaca cave,true,true,Mesoamerican Art,MesoamericanContext,Olmec cave paintings,high,Q1377944,,,,no,
137,Kinderlinskaya cave,true,false,,,,,,,,,no,
138,Moomi cave,true,false,,,,,,,,,no,
139,Oregon caves national monument,true,false,,,,,,,,,no,
140,Sanbao cave,true,false,,,,,,,,,no,
141,Sofular cave,true,false,,,,,,,,,no,
142,Tianmen,true,false,,,,,,,,,no,
144,Botuverá cave,true,false,,,,,,,,,no,
145,Antro del Corchia,true,false,,,,,,,,,no,
146,Gunung-buda cave (snail shell cave),true,false,,,,,,,,,no,
147,Fort Stanton cave,true,false,,,,,,,,,no,
149,Arch cave,true,false,,,,,,,,,no,
151,Guillotine cave,true,false,,,,,,,,,no,
152,Hoti cave,true,false,,,,,,,,,no,
154,Jiuxian cave,true,false,,,,,,,,,no,
155,KNI-51,true,false,,,,,,,,,no,
156,Mavri Trypa cave,true,false,,,,,,,,,no,
157,Munagamanu cave,true,false,,,,,,,,,no,
158,Nettlebed cave,true,false,,,,,,,,,no,
160,Soreq cave,true,true,Prehistoric Occupation,PrehistoricContext,"Near major prehistoric sites, key palaeoclimate proxy",high,Q2305521,,,,no,
161,Aurora cave,true,true,Prehistoric Occupation,PrehistoricContext,Near Homo luzonensis sites,low,,,,,no,
162,"Calcite cave (Mt Luxmore, Fiordland)",true,false,,,,,,,,,no,
163,Gardener's Gut,true,false,,,,,,,,,no,
164,Max's cave,true,false,,,,,,,,,no,
165,Ruakuri cave,true,false,,,,,,,,,no,
166,Te Reinga cave,true,false,,,,,,,,,no,
167,Waiau cave,true,false,,,,,,,,,no,
168,Wazpretti cave,true,false,,,,,,,,,no,
169,Doubtful Xanadu,true,false,,,,,,,,,no,
172,Wolkberg cave,true,false,,,,,,,,,no,
173,Perdida cave,true,false,,,,,,,,,no,
174,Zhuliuping cave,true,false,,,,,,,,,no,
175,Yaoba Don cave,true,false,,,,,,,,,no,
177,Santo Tomas cave,true,false,,,,,,,,,no,
178,Yamen cave,true,false,,,,,,,,,no,
181,Forestry cave,true,false,,,,,,,,,no,
182,Kotumsar cave,true,true,Prehistoric Occupation,PrehistoricContext,Archaeological finds reported,high,Q6434952,,,,no,
183,Dos Anas cave,true,false,,,,,,,,,no,
185,Beatus cave,true,false,,,,,,,,,no,
186,Bribin cave,true,false,,,,,,,,,no,
187,Cesare Battisti cave,true,false,,,,,,,,,no,
189,Chen Ha cave,true,false,,,,,,,,,no,
190,Cold Water cave,true,false,,,,,,,,,no,
191,Devil's Icebox cave,true,false,,,,,,,,,no,
192,El Condor cave,true,false,,,,,,,,,no,
193,Frasassi cave system - Grotta Grande del Vento,true,false,,,,,,,,,no,
195,Harrison's cave,true,false,,,,,,,,,no,
196,Karaca cave,true,false,,,,,,,,,no,
197,Klaus Cramer cave,true,false,,,,,,,,,no,
198,"Lianhua cave, Hunan",true,false,,,,,,,,,no,
199,Lynds cave,true,false,,,,,,,,,no,
200,Minnetonka cave,true,false,,,,,,,,,no,
202,Piani Eterni karst system,true,false,,,,,,,,,no,
203,Poleva cave,true,false,,,,,,,,,no,
204,Xibalba cave,true,false,,,,,,,,,no,
205,São Bernardo cave,true,false,,,,,,,,,no,
206,São Matheus cave,true,false,,,,,,,,,no,
207,Shatuca cave,true,false,,,,,,,,,no,
208,Tangga cave,true,false,,,,,,,,,no,
209,Uluu-Too cave,true,false,,,,,,,,,no,
210,White moon cave,true,false,,,,,,,,,no,
211,Xiangshui cave,true,false,,,,,,,,,no,
213,Tausoare cave,true,false,,,,,,,,,no,
214,Cave C126,true,false,,,,,,,,,no,
215,Chaara cave,true,false,,,,,,,,,no,
216,Dark cave,true,false,,,,,,,,,no,
219,Shennong cave,true,false,,,,,,,,,no,
221,La Vierge cave,true,false,,,,,,,,,no,
222,Patate cave,true,false,,,,,,,,,no,
223,Wanxiang cave,true,true,Historic / Prehistoric,HistoricContext,Archaeological context reported,high,Q7965218,,,,no,
224,Xianglong cave,true,false,,,,,,,,,no,
225,Chiflonkhakha cave,true,false,,,,,,,,,no,
226,Cueva del Diamante,true,true,Mesoamerican,MesoamericanContext,Archaeological cave,medium,,,,,no,
230,Marota cave,true,false,,,,,,,,,no,
231,Pacupahuain cave,true,false,,,,,,,,,no,
232,Rio Secreto cave system,true,false,,,,,,,,,no,
233,Robinson cave,true,false,,,,,,,,,no,
234,Santana cave,true,false,,,,,,,,,no,
235,Cueva del Tigre Perdido,true,false,,,,,,,,,no,
236,Toca da Boa Vista,true,false,,,,,,,,,no,
237,Umajalanta cave,true,false,,,,,,,,,no,
239,Baluk cave,true,false,,,,,,,,,no,
241,Gempa bumi cave,true,false,,,,,,,,,no,
242,Haozhu cave,true,false,,,,,,,,,no,
243,Kailash cave,true,false,,,,,,,,,no,
244,"Lianhua cave, Shanxi",true,false,,,,,,,,,no,
245,Nakarallu cave,true,true,Prehistoric Occupation,PrehistoricContext,Prehistoric finds,medium,,,,,no,
246,Palawan cave,true,false,,,,,,,,,no,
248,Shenqi cave,true,false,,,,,,,,,no,
249,Shigao cave,true,false,,,,,,,,,no,
250,Wuya cave,true,false,,,,,,,,,no,
252,Andriamaniloke,true,false,,,,,,,,,no,
253,Hoq cave,true,true,Ancient Inscriptions,HistoricContext,"Ancient inscriptions, Socotra Island",high,Q1622209,,,,no,
254,PP29,true,false,,,,,,,,,no,
255,Mitoho,true,false,,,,,,,,,no,
256,Lithophagus cave,true,false,,,,,,,,,no,
258,B7 cave,true,true,Prehistoric Occupation,PrehistoricContext,"Soreq area, prehistoric context",medium,,,,,no,
259,Cobre cave,true,false,,,,,,,,,no,
260,Crovassa Azzurra,true,false,,,,,,,,,no,
262,Bleßberg cave,true,false,,,,,,,,,no,
263,Bulgarian Orlova Chuka cave,true,false,,,,,,,,,no,
264,Strašna peć cave,true,false,,,,,,,,,no,
265,Coves de Campanet,true,false,,,,,,,,,no,
266,Cueva Victoria,true,true,Pleistocene Fauna / Hominins,PalaeontologicalContext,Hominins & Pleistocene fauna,high,Q3011793,,,,no,
267,Gruta do Casal da Lebre,true,true,Prehistoric Occupation,PrehistoricContext,Prehistoric finds,medium,,,,,no,
268,Pere Noel cave,true,true,Palaeolithic Occupation,PalaeolithicContext,Prehistoric occupation,high,Q3374490,,,,no,
269,Gejkar cave,true,false,,,,,,,,,no,
270,Gol-E-Zard cave,true,false,,,,,,,,,no,
271,Jersey cave,true,false,,,,,,,,,no,
272,Metro cave,true,false,,,,,,,,,no,
273,Crystal cave,true,false,,,,,,,,,no,
274,Terciopelo cave,true,false,,,,,,,,,no,
275,Buraca Gloriosa,true,true,Prehistoric Occupation,PrehistoricContext,Pleistocene/Prehistoric finds,high,Q4995636,,,,no,
277,Huagapo cave,true,false,,,,,,,,,no,
278,Pink Panther cave,true,false,,,,,,,,,no,
279,Staircase cave,true,false,,,,,,,,,no,
280,Atta cave,true,false,,,,,,,,,no,
281,Venado cave,true,false,,,,,,,,,no,
282,Wadi Sannur cave,true,false,,,,,,,,,no,
283,Babylon cave,true,false,,,,,,,,,no,
284,Creighton`s cave,true,false,,,,,,,,,no,
285,Disbelief cave,true,false,,,,,,,,,no,
286,La Garma cave,true,true,Palaeolithic Art,PalaeolithicContext,"Palaeolithic occupation & art, Cantabria",high,Q1243761,,,,yes,714
287,Twin Forks cave,true,false,,,,,,,,,no,
288,Wet Neck cave,true,false,,,,,,,,,no,
289,Gassel Tropfsteinhöhle,true,false,,,,,,,,,no,
290,Grete-Ruth Shaft,true,false,,,,,,,,,no,
292,Limnon cave,true,false,,,,,,,,,no,
293,Tham Doun Mai,true,false,,,,,,,,,no,
294,Palco cave,true,false,,,,,,,,,no,
295,Qadisha cave,true,true,Sacred / Historic,HistoricContext,"Qadisha Valley, UNESCO World Heritage",high,Q643919,,,,yes,850
296,Amir Timur cave,true,false,,,,,,,,,no,
297,Bàsura cave,true,true,Palaeolithic Art,PalaeolithicContext,"Palaeolithic footprints & art, Liguria",high,Q1756800,,,,no,
298,Belum cave,true,true,Prehistoric Occupation,PrehistoricContext,Prehistoric occupation,high,Q900775,,,,no,
299,Calabrez,true,false,,,,,,,,,no,
300,Careys cave,true,false,,,,,,,,,no,
301,Cathedral cave,true,false,,,,,,,,,no,
303,"Crystal cave, Australia",true,false,,,,,,,,,no,
304,Cueva Bonita,true,false,,,,,,,,,no,
305,Cueva Rosa,true,false,,,,,,,,,no,
306,Cuíca cave,true,false,,,,,,,,,no,
307,Efflux cave,true,false,,,,,,,,,no,
308,GD8,true,false,,,,,,,,,no,
310,Golgotha cave,true,false,,,,,,,,,no,
312,Heifeng cave,true,false,,,,,,,,,no,
313,Herbstlabyrinth cave,true,false,,,,,,,,,no,
314,Herolds Bay cave,true,false,,,,,,,,,no,
315,Huangchao cave,true,false,,,,,,,,,no,
316,Hüttenbläserschachthöhle,true,false,,,,,,,,,no,
317,Jiangjun cave,true,false,,,,,,,,,no,
318,Jinfo cave,true,false,,,,,,,,,no,
319,Jiulong cave,true,false,,,,,,,,,no,
320,Katalekhor,true,false,,,,,,,,,no,
321,Klang,true,false,,,,,,,,,no,
323,Kyok-Tash cave,true,false,,,,,,,,,no,
324,La Vallina,true,true,Palaeolithic Art,PalaeolithicContext,"Rock art, Asturias",high,Q6479849,,,,no,
325,Larga cave,true,false,,,,,,,,,no,
326,Linzhu cave,true,false,,,,,,,,,no,
327,Manita peć cave,true,false,,,,,,,,,no,
328,Mata Virgem cave,true,false,,,,,,,,,no,
329,Matupi cave,true,true,African Later Stone Age,PrehistoricContext,Later Stone Age artefacts,high,Q6789024,,,,no,
330,Meravelles cave,true,false,,,,,,,,,no,
332,Murada,true,false,,,,,,,,,no,
333,Neotektonik cave,true,false,,,,,,,,,no,
334,Nova Grgosova cave,true,false,,,,,,,,,no,
335,Ostolo cave,true,false,,,,,,,,,no,
336,Pentadactylos,true,false,,,,,,,,,no,
337,Pir Ghar cave,true,true,Prehistoric Occupation,PrehistoricContext,South Asian prehistoric occupation,medium,,,,,no,
338,Coves del pirata,true,false,,,,,,,,,no,
339,Pozzo Cucù cave,true,false,,,,,,,,,no,
340,Qujia cave,true,false,,,,,,,,,no,
341,Rey Marcos,true,false,,,,,,,,,no,
342,Sa balma des quartó cave,true,false,,,,,,,,,no,
343,Sant'Angelo cave,true,false,,,,,,,,,no,
344,Sarma cave,true,false,,,,,,,,,no,
345,Schratten cave,true,false,,,,,,,,,no,
346,Shijiangjun cave,true,false,,,,,,,,,no,
347,Shizi cave,true,false,,,,,,,,,no,
348,Sudwala cave,true,false,,,,,,,,,no,
349,Talisman cave,true,false,,,,,,,,,no,
350,Toca da Barriguda,true,false,,,,,,,,,no,
351,Trapiá cave,true,false,,,,,,,,,no,
352,War Eagle,true,false,,,,,,,,,no,
353,Wintimdouine,true,true,Prehistoric Art,PrehistoricContext,Prehistoric rock art,medium,,,,,no,
354,Wulu cave,true,false,,,,,,,,,no,
355,Xiniu cave,true,false,,,,,,,,,no,
356,Yangzi cave,true,false,,,,,,,,,no,
357,Yonderup cave,true,false,,,,,,,,,no,
358,Zhangjia cave,true,false,,,,,,,,,no,
359,Zoolithen cave,true,true,Pleistocene Fauna,PalaeontologicalContext,Cave bear & Pleistocene megafauna,high,Q2590036,,,,no,
360,Bigonda cave,true,false,,,,,,,,,no,
361,Kocain cave,true,false,,,,,,,,,no,
362,Labyrinth cave,true,false,,,,,,,,,no,
363,Lake Shasta cave,true,false,,,,,,,,,no,
364,Naharon,true,true,Prehistoric Occupation,PrehistoricContext,Submerged prehistoric human remains (underwater archaeology),medium,,,,,no,
365,Pot au Feu,true,false,,,,,,,,,no,
366,Savi cave,true,false,,,,,,,,,no,
