/* DATA DESCRIPTION:
Citation:	Augustin, Laurent; Barbante, Carlo; Barnes, Piers R F; Barnola, Jean-Marc; Bigler, Matthias; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Delmonte, Barbara; Dreyfus, Gabrielle; Durand, Gael; Falourd, Sonia; Fischer, Hubertus; Flückiger, Jacqueline; Hansson, Margareta E; Huybrechts, Philippe; Jugie, Gérard; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaufmann, Patrik R; Kipfstuhl, Sepp; Lambert, Fabrice; Lipenkov, Vladimir Ya; Littot, Geneviève C; Longinelli, Antonio; Lorrain, Reginald D; Maggi, Valter; Masson-Delmotte, Valerie; Miller, Heinrich; Mulvaney, Robert; Oerlemans, Johannes; Oerter, Hans; Orombelli, Giuseppe; Parrenin, Frédéric; Peel, David A; Petit, Jean Robert; Raynaud, Dominique; Ritz, Catherine; Ruth, Urs; Schwander, Jakob; Siegenthaler, Urs; Souchez, Roland A; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tabacco, Ignazio; Udisti, Roberto; van de Wal, Roderik S W; van den Broeke, Michiel R; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric William; Zucchelli, Mario (2004): Deuterium data from EPICA Dome C ice core EDC, 6.6-3140.5 metres [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.198743, 
	In supplement to: Augustin, L et al. (2004): Eight glacial cycles from an Antarctic ice core. Nature, 429(6992), 623-628, https://doi.org/10.1038/nature02599
Further details:	Documentation of EPICA Dome C. hdl:10013/epic.32364.d001
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 8.525 m * MAXIMUM DEPTH, ice/snow: 3138.570 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Ages are also given, showing the age-depth relationship used.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr)
	Depth, bottom/max [m] (Depth bot) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr)
	Age, minimum/young [ka] (Age min) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: Age (years before 1950 on EDC2 timescale) at top of averaging interval
	Age, maximum/old [ka] (Age max) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: Age (years before 1950 on EDC2 timescale) at bottom of averaging interval
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	4070 data points
*/
Depth ice/snow [m]	Age [ka BP]	Depth top [m]	Depth bot [m]	Age min [ka]	Age max [ka]	δD [‰ SMOW]
270.325	8.551750	268.40	272.25	8.47800	8.62550	-398.37
274.175	8.700200	272.25	276.10	8.62550	8.77490	-398.94
278.025	8.850980	276.10	279.95	8.77490	8.92705	-398.61
281.875	9.000230	279.95	283.80	8.92705	9.07340	-396.29
285.725	9.150530	283.80	287.65	9.07340	9.22765	-398.83
289.575	9.300330	287.65	291.50	9.22765	9.37300	-394.07
293.425	9.444120	291.50	295.35	9.37300	9.51525	-392.28
297.275	9.588320	295.35	299.20	9.51525	9.66140	-394.63
301.125	9.731570	299.20	303.05	9.66140	9.80175	-391.67
304.975	9.870480	303.05	306.90	9.80175	9.93920	-391.30
308.825	10.009600	306.90	310.75	9.93920	10.08000	-393.06
312.675	10.150700	310.75	314.60	10.08000	10.22140	-392.03
316.525	10.289800	314.60	318.45	10.22140	10.35820	-389.14
320.375	10.429500	318.45	322.30	10.35820	10.50080	-393.50
324.225	10.573100	322.30	326.15	10.50080	10.64530	-392.61
328.075	10.714700	326.15	330.00	10.64530	10.78400	-388.41
331.925	10.857600	330.00	333.85	10.78400	10.93130	-392.41
335.775	11.007900	333.85	337.70	10.93130	11.08460	-392.94
339.625	11.160300	337.70	341.55	11.08460	11.23600	-394.27
343.475	11.311700	341.55	345.40	11.23600	11.38740	-392.01
347.325	11.462200	345.40	349.25	11.38740	11.53700	-391.79
351.175	11.611400	349.25	353.10	11.53700	11.68590	-391.80
355.025	11.760600	353.10	356.95	11.68590	11.83520	-390.56
358.875	11.912600	356.95	360.80	11.83520	11.99000	-393.01
362.725	12.065400	360.80	364.65	11.99000	12.14070	-392.40
366.575	12.222800	364.65	368.50	12.14070	12.30500	-398.23
370.425	12.391700	368.50	372.35	12.30500	12.47840	-401.76
374.275	12.570000	372.35	376.20	12.47840	12.66160	-407.20
378.125	12.755600	376.20	380.05	12.66160	12.84960	-409.31
381.975	12.949100	380.05	383.90	12.84960	13.04860	-412.14
385.825	13.154000	383.90	387.75	13.04860	13.25950	-415.66
389.675	13.363700	387.75	391.60	13.25950	13.46800	-415.10
393.525	13.571700	391.60	395.45	13.46800	13.67540	-414.10
397.375	13.772700	395.45	399.30	13.67540	13.86990	-410.77
401.225	13.970600	399.30	403.15	13.86990	14.07140	-413.57
405.075	14.174700	403.15	407.00	14.07140	14.27800	-414.96
408.925	14.381900	407.00	410.85	14.27800	14.48580	-411.74
412.775	14.583400	410.85	414.70	14.48580	14.68110	-407.67
416.625	14.775200	414.70	418.55	14.68110	14.86930	-402.99
420.475	14.964400	418.55	422.40	14.86930	15.05960	-404.94
424.325	15.163800	422.40	426.25	15.05960	15.26800	-410.74
428.175	15.375000	426.25	430.10	15.26800	15.48210	-412.16
432.025	15.582700	430.10	433.95	15.48210	15.68330	-410.93
435.875	15.791400	433.95	437.80	15.68330	15.89960	-413.19
439.725	16.013600	437.80	441.65	15.89960	16.12770	-418.67
443.575	16.240800	441.65	445.50	16.12770	16.35400	-418.26
447.425	16.471200	445.50	449.35	16.35400	16.58840	-418.99
451.275	16.713900	449.35	453.20	16.58840	16.83940	-423.57
455.125	16.968800	453.20	457.05	16.83940	17.09820	-423.94
458.975	17.229100	457.05	460.90	17.09820	17.35990	-428.26
462.825	17.500600	460.90	464.75	17.35990	17.64130	-433.73
466.675	17.788400	464.75	468.60	17.64130	17.93540	-433.81
470.525	18.088800	468.60	472.45	17.93540	18.24220	-438.79
474.375	18.404600	472.45	476.30	18.24220	18.56690	-439.89
478.225	18.729600	476.30	480.15	18.56690	18.89230	-441.44
482.075	19.058200	480.15	484.00	18.89230	19.22400	-441.93
485.925	19.390100	484.00	487.85	19.22400	19.55630	-440.89
489.775	19.722200	487.85	491.70	19.55630	19.88820	-442.46
493.625	20.051700	491.70	495.55	19.88820	20.21530	-439.79
497.475	20.387300	495.55	499.40	20.21530	20.55920	-443.77
501.325	20.728100	499.40	503.25	20.55920	20.89700	-441.41
505.175	21.057800	503.25	507.10	20.89700	21.21870	-441.40
509.025	21.380300	507.10	510.95	21.21870	21.54190	-442.01
512.875	21.707000	510.95	514.80	21.54190	21.87220	-442.31
516.725	22.038700	514.80	518.65	21.87220	22.20520	-441.83
520.575	22.369600	518.65	522.50	22.20520	22.53400	-441.11
524.425	22.693000	522.50	526.35	22.53400	22.85210	-440.20
528.275	23.021700	526.35	530.20	22.85210	23.19120	-443.51
532.125	23.354400	530.20	534.05	23.19120	23.51750	-440.17
535.975	23.688800	534.05	537.90	23.51750	23.86020	-442.79
539.825	24.021100	537.90	541.75	23.86020	24.18200	-439.33
543.675	24.344500	541.75	545.60	24.18200	24.50700	-439.47
547.525	24.673000	545.60	549.45	24.50700	24.83900	-443.17
551.375	25.008200	549.45	553.30	24.83900	25.17730	-442.99
555.225	25.346000	553.30	557.15	25.17730	25.51470	-443.47
559.075	25.686800	557.15	561.00	25.51470	25.85900	-444.50
562.925	26.032900	561.00	564.85	25.85900	26.20680	-445.16
566.775	26.376500	564.85	568.70	26.20680	26.54620	-444.66
570.625	26.717100	568.70	572.55	26.54620	26.88800	-443.97
574.475	27.057400	572.55	576.40	26.88800	27.22680	-444.24
578.325	27.398500	576.40	580.25	27.22680	27.57020	-444.60
582.175	27.738300	580.25	584.10	27.57020	27.90640	-443.81
586.025	28.066400	584.10	587.95	27.90640	28.22640	-439.00
589.875	28.386500	587.95	591.80	28.22640	28.54660	-437.79
593.725	28.717200	591.80	595.65	28.54660	28.88790	-443.73
597.575	29.048400	595.65	599.50	28.88790	29.20900	-437.46
601.425	29.370900	599.50	603.35	29.20900	29.53270	-440.43
605.275	29.680600	603.35	607.20	29.53270	29.82840	-435.89
609.125	29.977800	607.20	611.05	29.82840	30.12710	-437.13
612.975	30.287600	611.05	614.90	30.12710	30.44820	-439.87
616.825	30.615100	614.90	618.75	30.44820	30.78200	-442.47
620.675	30.956800	618.75	622.60	30.78200	31.13160	-440.91
624.525	31.292500	622.60	626.45	31.13160	31.45340	-438.43
628.375	31.623400	626.45	630.30	31.45340	31.79350	-444.04
632.225	31.955100	630.30	634.15	31.79350	32.11670	-441.71
636.075	32.267400	634.15	638.00	32.11670	32.41800	-435.11
639.925	32.575000	638.00	641.85	32.41800	32.73190	-437.73
643.775	32.893900	641.85	645.70	32.73190	33.05600	-441.66
647.625	33.218200	645.70	649.55	33.05600	33.38050	-438.54
651.475	33.531400	649.55	653.40	33.38050	33.68240	-434.86
655.325	33.847200	653.40	657.25	33.68240	34.01200	-438.40
659.175	34.188200	657.25	661.10	34.01200	34.36440	-442.99
663.025	34.523700	661.10	664.95	34.36440	34.68310	-438.61
666.875	34.832300	664.95	668.80	34.68310	34.98140	-434.80
670.725	35.135400	668.80	672.65	34.98140	35.28940	-433.37
674.575	35.444200	672.65	676.50	35.28940	35.59900	-435.43
678.425	35.760200	676.50	680.35	35.59900	35.92140	-436.67
682.275	36.081300	680.35	684.20	35.92140	36.24120	-437.91
686.125	36.398700	684.20	688.05	36.24120	36.55610	-435.79
689.975	36.717500	688.05	691.90	36.55610	36.87890	-436.70
693.825	37.029700	691.90	695.75	36.87890	37.18050	-431.80
697.675	37.325900	695.75	699.60	37.18050	37.47120	-429.71
701.525	37.606500	699.60	703.45	37.47120	37.74180	-422.69
705.375	37.888000	703.45	707.30	37.74180	38.03420	-429.23
709.225	38.175600	707.30	711.15	38.03420	38.31700	-427.01
713.075	38.462000	711.15	715.00	38.31700	38.60700	-428.13
716.925	38.752700	715.00	718.85	38.60700	38.89830	-429.96
720.775	39.062800	718.85	722.70	38.89830	39.22730	-436.94
724.625	39.399800	722.70	726.55	39.22730	39.57230	-439.01
728.475	39.738100	726.55	730.40	39.57230	39.90380	-435.83
732.325	40.074000	730.40	734.25	39.90380	40.24430	-436.29
736.175	40.427100	734.25	738.10	40.24430	40.61000	-439.01
740.025	40.776900	738.10	741.95	40.61000	40.94390	-433.14
743.875	41.113100	741.95	745.80	40.94390	41.28220	-436.27
747.725	41.463100	745.80	749.65	41.28220	41.64410	-440.27
751.575	41.821300	749.65	753.50	41.64410	41.99850	-437.61
755.425	42.156100	753.50	757.35	41.99850	42.31380	-435.24
759.275	42.472800	757.35	761.20	42.31380	42.63180	-430.01
763.125	42.800800	761.20	765.05	42.63180	42.96970	-431.91
766.975	43.148600	765.05	768.90	42.96970	43.32740	-434.80
770.825	43.497500	768.90	772.75	43.32740	43.66750	-438.20
774.675	43.831200	772.75	776.60	43.66750	43.99500	-437.13
778.525	44.157200	776.60	780.45	43.99500	44.31940	-435.38
782.375	44.475900	780.45	784.30	44.31940	44.63240	-431.54
786.225	44.779400	784.30	788.15	44.63240	44.92640	-427.74
790.075	45.065200	788.15	792.00	44.92640	45.20400	-425.20
793.925	45.343000	792.00	795.85	45.20400	45.48210	-422.31
797.775	45.617200	795.85	799.70	45.48210	45.75220	-421.87
801.625	45.888000	799.70	803.55	45.75220	46.02380	-420.64
805.475	46.170300	803.55	807.40	46.02380	46.31680	-426.87
809.325	46.463300	807.40	811.25	46.31680	46.60980	-426.75
813.175	46.762400	811.25	815.10	46.60980	46.91500	-428.57
817.025	47.080200	815.10	818.95	46.91500	47.24550	-434.26
820.875	47.407600	818.95	822.80	47.24550	47.56960	-433.10
824.725	47.734000	822.80	826.65	47.56960	47.89830	-434.46
828.575	48.060900	826.65	830.50	47.89830	48.22350	-432.60
832.425	48.390300	830.50	834.35	48.22350	48.55710	-434.55
836.275	48.716900	834.35	838.20	48.55710	48.87680	-430.93
840.125	49.035500	838.20	842.05	48.87680	49.19420	-431.63
843.975	49.352500	842.05	845.90	49.19420	49.51080	-430.34
847.825	49.670100	845.90	849.75	49.51080	49.82930	-431.57
851.675	49.990000	849.75	853.60	49.82930	50.15080	-431.76
855.525	50.306900	853.60	857.45	50.15080	50.46300	-428.62
859.375	50.613900	857.45	861.30	50.46300	50.76480	-428.11
863.225	50.910900	861.30	865.15	50.76480	51.05700	-424.26
867.075	51.208500	865.15	869.00	51.05700	51.36000	-426.90
870.925	51.506400	869.00	872.85	51.36000	51.65280	-423.52
874.775	51.798300	872.85	876.70	51.65280	51.94380	-424.31
878.625	52.080500	876.70	880.55	51.94380	52.21720	-418.60
882.475	52.368200	880.55	884.40	52.21720	52.51920	-426.33
886.325	52.669800	884.40	888.25	52.51920	52.82050	-425.17
890.175	52.972000	888.25	892.10	52.82050	53.12350	-425.59
894.025	53.288600	892.10	895.95	53.12350	53.45370	-432.05
897.875	53.607800	895.95	899.80	53.45370	53.76200	-427.04
901.725	53.920800	899.80	903.65	53.76200	54.07960	-428.69
905.575	54.246300	903.65	907.50	54.07960	54.41300	-431.83
909.425	54.585100	907.50	911.35	54.41300	54.75710	-434.26
913.275	54.921500	911.35	915.20	54.75710	55.08580	-430.36
917.125	55.245800	915.20	919.05	55.08580	55.40590	-429.02
920.975	55.556200	919.05	922.90	55.40590	55.70640	-424.81
924.825	55.855200	922.90	926.75	55.70640	56.00400	-423.65
928.675	56.156600	926.75	930.60	56.00400	56.30920	-424.34
932.525	56.461200	930.60	934.45	56.30920	56.61320	-425.10
936.375	56.756000	934.45	938.30	56.61320	56.89880	-420.24
940.225	57.040400	938.30	942.15	56.89880	57.18210	-419.97
944.075	57.328500	942.15	946.00	57.18210	57.47500	-421.63
947.925	57.623100	946.00	949.85	57.47500	57.77120	-421.59
951.775	57.923900	949.85	953.70	57.77120	58.07670	-424.48
955.625	58.229600	953.70	957.55	58.07670	58.38260	-423.76
959.475	58.546200	957.55	961.40	58.38260	58.70980	-428.73
963.325	58.871700	961.40	965.25	58.70980	59.03350	-427.67
967.175	59.197600	965.25	969.10	59.03350	59.36170	-428.02
971.025	59.528700	969.10	972.95	59.36170	59.69570	-429.61
974.875	59.869300	972.95	976.80	59.69570	60.04280	-431.78
978.725	60.224200	976.80	980.65	60.04280	60.40570	-434.73
982.575	60.593400	980.65	984.50	60.40570	60.78100	-437.01
986.425	60.974600	984.50	988.35	60.78100	61.16810	-438.30
990.275	61.372100	988.35	992.20	61.16810	61.57620	-442.67
994.125	61.766400	992.20	996.05	61.57620	61.95670	-437.38
997.975	62.139100	996.05	999.90	61.95670	62.32150	-434.30
1001.830	62.517900	999.90	1003.75	62.32150	62.71430	-438.53
1005.670	62.915100	1003.75	1007.60	62.71430	63.11600	-440.55
1009.520	63.312600	1007.60	1011.45	63.11600	63.50930	-438.62
1013.380	63.714500	1011.45	1015.30	63.50930	63.91970	-441.40
1017.230	64.131100	1015.30	1019.15	63.91970	64.34250	-443.41
1021.080	64.548200	1019.15	1023.00	64.34250	64.75400	-442.02
1024.920	64.960400	1023.00	1026.85	64.75400	65.16670	-441.36
1028.780	65.375100	1026.85	1030.70	65.16670	65.58350	-442.33
1032.620	65.784600	1030.70	1034.55	65.58350	65.98570	-439.38
1036.470	66.191000	1034.55	1038.40	65.98570	66.39620	-441.25
1040.330	66.589600	1038.40	1042.25	66.39620	66.78300	-436.18
1044.170	66.996000	1042.25	1046.10	66.78300	67.20900	-443.29
1048.030	67.412000	1046.10	1049.95	67.20900	67.61500	-439.67
1051.880	67.805400	1049.95	1053.80	67.61500	67.99580	-434.37
1055.720	68.172800	1053.80	1057.65	67.99580	68.34990	-430.15
1059.580	68.513200	1057.65	1061.50	68.34990	68.67650	-423.40
1063.420	68.844800	1061.50	1065.35	68.67650	69.01320	-424.84
1067.280	69.186800	1065.35	1069.20	69.01320	69.36040	-427.79
1071.120	69.537500	1069.20	1073.05	69.36040	69.71460	-428.49
1074.970	69.897900	1073.05	1076.90	69.71460	70.08120	-431.37
1078.830	70.280500	1076.90	1080.75	70.08120	70.47980	-437.10
1082.670	70.670900	1080.75	1084.60	70.47980	70.86200	-434.60
1086.530	71.040900	1084.60	1088.45	70.86200	71.21990	-429.00
1090.380	71.393800	1088.45	1092.30	71.21990	71.56770	-427.48
1094.220	71.729500	1092.30	1096.15	71.56770	71.89130	-422.76
1098.080	72.049100	1096.15	1100.00	71.89130	72.20700	-419.96
1101.920	72.358900	1100.00	1103.85	72.20700	72.51070	-416.41
1105.780	72.675500	1103.85	1107.70	72.51070	72.84030	-422.97
1109.620	73.012500	1107.70	1111.55	72.84030	73.18460	-426.08
1113.470	73.369800	1111.55	1115.40	73.18460	73.55500	-430.70
1117.330	73.739900	1115.40	1119.25	73.55500	73.92480	-431.23
1121.170	74.107600	1119.25	1123.10	73.92480	74.29030	-430.37
1125.030	74.471400	1123.10	1126.95	74.29030	74.65240	-429.55
1128.880	74.824400	1126.95	1130.80	74.65240	74.99640	-425.94
1132.720	75.177800	1130.80	1134.65	74.99640	75.35910	-430.18
1136.580	75.537300	1134.65	1138.50	75.35910	75.71550	-428.44
1140.420	75.890500	1138.50	1142.35	75.71550	76.06550	-427.48
1144.280	76.231800	1142.35	1146.20	76.06550	76.39820	-423.49
1148.120	76.575700	1146.20	1150.05	76.39820	76.75320	-426.17
