/* DATA DESCRIPTION:
Citation:	Bouchet, Marie; Grisart, Antoine; Landais, Amaëlle; Prié, Frédéric; Jacob, Roxanne; Fourré, Elise (2023): δO2/N2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.961025, 
	In: Bouchet, M et al. (2023): δO2/N2 and δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.961023
Keyword(s):	Antarctica; Elemental ratios; EPICA Dome C ice core; Gas; Ice core; Isotope ratio; Termination
Related to:	Bazin, Lucie; Landais, Amaëlle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus Christian; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus Christian (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Extier, Thomas; Landais, Amaëlle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus Christian (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
	Landais, Amaëlle; Dreyfus, Gabrielle; Capron, Emilie; Pol, Katy; Loutre, Marie-France; Raynaud, Dominique; Lipenkov, Vladimir Ya; Arnaud, Laurent; Masson-Delmotte, Valerie; Paillard, Didier; Jouzel, Jean; Leuenberger, Markus Christian (2012): Towards orbital dating of the EPICA Dome C ice core using dO2/N2. Climate of the Past, 8(1), 191-203, https://doi.org/10.5194/cp-8-191-2012
Funding:	European Research Council (ERC), grant/award no. 817493: ICORDA - Ice CORe DAting tools revisited to infer the dynamic of glacial – interglacial transitions over the last 1.5 million years (URI: https://doi.org/10.3030/817493)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1420.60 m * MAXIMUM DEPTH, ice/snow: 3188.92 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr)
	Ice age [ka BP] (Ice age) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Antarctic ice core chronology (AICC2023) (URI: https://doi.org/10.5194/cp-19-2257-2023)
	δ Oxygen/Nitrogen ratio [‰] (δ(O2/N2)) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS), Thermo Scientific, Delta 219 V
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1645 data points
*/
Depth ice/snow [m]	Ice age [ka BP]	δ(O2/N2) [‰]
2034.45	191.4802	-11.4364
2036.10	191.8332	-9.8412
2036.23	191.8597	-8.7529
2038.85	192.4429	-10.2173
2039.95	192.6969	-9.9699
2041.60	193.0621	-9.9287
2042.70	193.2992	-9.2904
2044.35	193.6379	-8.2977
2044.74	193.7120	-5.8745
2046.00	193.9389	-7.1113
2047.65	194.2505	-7.5754
2050.95	194.9286	-8.0864
2052.05	195.1749	-8.3227
2052.60	195.2951	-7.8370
2053.15	195.4139	-7.6632
2054.18	195.6383	-4.9118
2054.80	195.7782	-6.3326
2055.90	196.0135	-7.6945
2057.55	196.3587	-6.6867
2058.65	196.5895	-6.1855
2060.30	196.9079	-6.5350
2061.95	197.2138	-7.0093
2063.60	197.5220	-7.0472
2064.13	197.6217	-5.4751
2064.15	197.6255	-8.4697
2066.35	198.0274	-6.8976
2068.00	198.3275	-6.6464
2069.65	198.6201	-6.5227
2071.30	198.8987	-6.5434
2072.40	199.0857	-6.4258
2072.95	199.1713	-6.8635
2075.32	199.5539	-5.4372
2075.70	199.6140	-6.8230
2078.45	200.0537	-6.8288
2080.65	200.3870	-8.1674
2082.30	200.6453	-8.1769
2083.95	200.9038	-8.2303
2087.80	201.5022	-9.8741
2088.14	201.5556	-7.1231
2093.30	202.3731	-8.9397
2095.50	202.7249	-9.8890
2097.15	202.9850	-10.0202
2100.95	203.6316	-8.6612
2101.00	203.6410	-10.8114
2101.55	203.7426	-9.2645
2102.10	203.8438	-11.6785
2103.75	204.1511	-11.8537
2105.95	204.5851	-10.9197
2107.05	204.8064	-12.6555
2108.15	205.0308	-12.1988
2109.80	205.3678	-11.3630
2111.45	205.7063	-13.9074
2111.49	205.7141	-10.5427
2112.55	205.9229	-11.5714
2115.85	206.5529	-13.4600
2119.15	207.1506	-13.0801
2120.80	207.4434	-12.8934
2122.00	207.6606	-10.9365
2122.45	207.7405	-14.1657
2124.10	208.0197	-12.8033
2125.75	208.3053	-14.6144
2127.40	208.5957	-13.2600
2129.05	208.8827	-14.7027
2132.35	209.4253	-13.1688
2132.98	209.5283	-8.0140
2134.55	209.7833	-13.4267
2136.20	210.0518	-13.6974
2137.85	210.3120	-12.9450
2140.05	210.6529	-12.0483
2143.35	211.1720	-13.1623
2146.10	211.5772	-12.2017
2146.24	211.5982	-11.6838
2147.75	211.8254	-12.0689
2149.95	212.1709	-11.3161
2151.60	212.4221	-12.5834
2155.45	213.0273	-11.1530
2157.10	213.2934	-11.3176
2158.25	213.4781	-9.2661
2158.75	213.5567	-12.4170
2160.95	213.9330	-12.3853
2166.45	214.8381	-9.4159
2168.10	215.1293	-10.7753
2170.30	215.4913	-8.9879
2171.95	215.7746	-9.6051
2173.60	216.0504	-10.0050
2178.00	216.7499	-9.2338
2179.65	217.0174	-9.3956
2181.85	217.3893	-8.6309
2182.40	217.4850	-8.8472
2183.00	217.5910	-6.2667
2183.50	217.6823	-8.6214
2185.70	218.0856	-9.6752
2188.45	218.6260	-8.4402
2190.10	218.9658	-9.1351
2190.65	219.0738	-8.5334
2192.85	219.5474	-8.5054
2193.94	219.8058	-6.5487
2194.50	219.9317	-7.8979
2197.25	220.5579	-7.5352
2198.90	220.9370	-9.0172
2200.00	221.1853	-8.9591
2202.18	221.7209	-4.7568
2203.85	222.1496	-8.6514
2204.40	222.2911	-8.8746
2204.95	222.4374	-8.4264
2206.05	222.7297	-9.4143
2207.15	223.0336	-9.9782
2208.25	223.3736	-8.7622
2209.79	223.8054	-7.0315
2210.45	224.0019	-9.3487
2210.45	224.0019	-9.3487
2211.55	224.3347	-9.7298
2212.65	224.6727	-9.5419
2213.75	225.0088	-10.4328
2213.75	225.0088	-10.4328
2214.85	225.3476	-10.8725
2215.95	225.6916	-11.8252
2216.28	225.7920	-8.7160
2217.05	226.0325	-10.8229
2219.80	226.8451	-11.1164
2220.90	227.1528	-10.3521
2222.00	227.4365	-11.0441
2222.71	227.6076	-8.2304
2223.65	227.8170	-10.0795
2224.75	228.0892	-10.1165
2224.75	228.0892	-10.1165
2225.85	228.3646	-11.6553
2225.85	228.3646	-11.6553
2226.95	228.6426	-11.6739
2226.95	228.6426	-11.6739
2228.05	228.9398	-12.1012
2228.05	228.9398	-12.1012
2229.88	229.4640	-11.5025
2230.25	229.5731	-11.5777
2233.00	230.4152	-12.1026
2234.10	230.7265	-11.8456
2235.75	231.1265	-12.0872
2236.33	231.2813	-9.8545
2236.85	231.4172	-11.4159
2237.95	231.7226	-12.3741
2238.50	231.8846	-11.8260
2240.70	232.5185	-12.2473
2241.80	232.8174	-10.1730
2242.82	233.0834	-8.3005
2242.90	233.1038	-11.0685
2242.90	233.1038	-11.0685
2244.00	233.3803	-10.6104
2244.00	233.3803	-10.6104
2245.10	233.6635	-11.4353
2245.10	233.6635	-11.4353
2246.20	233.9488	-9.0466
2248.40	234.5096	-9.8605
2248.40	234.5096	-9.8605
2249.50	234.7691	-8.5239
2250.45	234.9921	-8.1748
2252.25	235.4175	-9.2920
2254.45	235.9203	-10.1327
2256.10	236.2719	-9.6363
2257.20	236.5036	-8.0903
2258.65	236.8179	-6.9527
2258.85	236.8598	-9.7720
2264.35	237.9628	-6.7865
2266.00	238.2886	-7.3014
2268.04	238.6998	-6.1193
2268.75	238.8361	-7.0658
2270.40	239.1668	-5.8403
2272.05	239.4844	-6.4980
2273.70	239.7985	-5.6906
2274.80	240.0107	-6.3225
2276.45	240.3394	-6.9511
2276.45	240.3394	-6.9511
2278.50	240.7033	-5.3543
2279.75	240.9291	-8.3833
2281.40	241.2185	-8.2581
2283.05	241.5037	-8.6554
2285.25	241.8641	-6.5514
2286.90	242.1155	-5.5297
2286.90	242.1155	-5.5297
2289.10	242.4388	
2290.31	242.5917	-2.6961
2291.85	242.7885	-6.3680
2295.70	243.2835	-5.6883
2297.90	243.5778	-6.7425
2300.10	243.8848	-8.3135
2302.30	244.2065	-7.3380
2304.77	244.5851	-5.8869
2306.15	244.8195	-8.6614
2308.90	245.3525	-7.9434
2310.55	245.6947	-9.8564
2311.65	245.9348	-10.4849
2313.30	246.3160	-9.9736
2314.90	246.7091	-10.3892
2315.50	246.8648	-10.1657
2316.60	247.1676	-10.8597
2316.60	247.1676	-10.8597
2317.15	247.3274	-10.4009
2318.25	247.6681	-11.4679
2318.25	247.6681	-11.4679
2319.35	247.9982	-12.0048
2320.45	248.3036	-12.5272
2321.53	248.6058	-9.8861
2321.55	248.6115	-10.3848
2323.20	249.0517	-11.3561
2324.30	249.3573	-9.5233
2325.40	249.6702	-11.1712
2326.50	249.9846	-12.1260
2327.05	250.1515	-13.6916
2327.05	250.1515	-13.6916
2328.15	250.4938	-14.0363
2328.81	250.7046	-12.5227
2329.80	251.0261	-15.3743
2330.35	251.2040	-13.9040
2331.45	251.5642	-14.9269
2332.00	251.7414	-14.2022
2332.00	251.7414	-14.2022
2333.10	252.0893	-15.2597
2333.10	252.0893	-15.2597
2333.65	252.2729	-14.8339
2334.75	252.6668	-14.3266
2334.93	252.7305	-13.2660
2335.30	252.8615	-13.5731
2336.40	253.2494	-13.3227
2337.50	253.6307	-14.6765
2338.60	254.0219	-13.6040
2339.15	254.2211	-14.4713
2340.25	254.5953	-15.2240
2340.25	254.5953	-15.2240
2340.44	254.6592	-11.1001
2341.90	255.1558	-14.4925
2343.00	255.5475	-15.0404
2343.55	255.7357	-13.5954
2344.10	255.9301	-13.9891
2345.75	256.5249	-12.5598
2345.75	256.5249	-12.5598
2346.85	256.9195	-13.6348
2346.85	256.9195	-13.6348
2348.50	257.4785	-14.1769
2348.50	257.4785	-14.1769
2349.60	257.8618	-11.7761
2350.15	258.0472	-12.9693
2353.28	259.1399	-8.9038
2359.56	261.4711	-9.4686
2371.04	265.7294	-6.5734
2376.79	267.9058	-8.2824
2391.54	274.1634	-7.7128
2395.76	276.0285	-8.6234
2400.53	278.0394	-8.8832
2405.41	280.0156	-9.7205
2410.25	281.9086	-9.0962
2415.83	283.7783	-8.6881
2434.88	289.2960	-6.3494
2441.59	291.0049	-7.1049
2448.28	292.8173	-7.3086
2453.73	294.6494	-7.5816
2458.50	296.3595	-10.2376
2463.99	298.3036	-11.7702
2468.77	300.0797	-11.0746
2474.25	302.0557	-12.0680
2479.51	303.9344	-9.9647
2484.94	305.7079	-8.1306
2490.52	307.8162	-7.2512
2495.64	309.7958	-5.6463
2501.57	312.0912	-4.9392
2507.53	314.2583	-4.7710
2513.97	316.4343	-6.5650
2520.53	318.8583	-8.0158
2525.40	320.8852	-9.5715
2531.43	323.0483	-9.7059
2538.02	325.0846	-9.4419
2545.65	327.1680	-12.0402
2546.50	327.3935	-8.2551
2555.85	329.7491	-9.0000
2556.95	330.0270	-9.3323
2558.05	330.3098	-9.0519
2559.15	330.5953	-9.6233
2561.35	331.1416	-8.7093
2561.90	331.2747	-6.2719
2563.55	331.6863	-9.1448
2564.10	331.8259	-8.3533
2565.20	332.1142	-8.7851
2567.95	332.8116	-8.9520
2570.15	333.3069	-7.8350
2571.25	333.5320	-7.6242
2572.90	333.8512	-7.1875
2574.55	334.1638	-7.8001
2576.20	334.4587	-7.3583
2577.85	334.7699	-8.2433
2580.60	335.2668	-9.0277
2582.25	335.5786	-8.4976
2583.35	335.8058	-9.0560
2585.55	336.2775	-7.6848
2587.20	336.6703	-9.4414
2588.30	336.9539	-9.2518
2589.31	337.2316	-5.4000
2589.95	337.4182	-9.7212
2590.50	337.5793	-9.2149
2591.60	337.9167	-8.3276
2592.15	338.0921	-9.1918
2593.25	338.4466	-10.1619
2594.90	339.0256	-9.3876
2595.41	339.2178	-9.3000
2596.55	339.6799	-9.7828
2597.10	339.9075	-9.6582
2597.65	340.1446	-11.3007
2599.30	340.9043	-10.2120
2599.30	340.9043	-10.2120
2599.85	341.1756	-11.2062
2600.41	341.4631	-11.1000
2600.95	341.7580	-11.4237
2601.50	342.0837	-10.3599
2602.05	342.4208	-9.5901
2602.60	342.7444	-10.5533
2603.15	343.0774	-9.8360
2603.76	343.4622	-10.1000
2604.80	344.0875	-11.1372
2605.35	344.3976	-11.7272
2605.90	344.7276	-10.0645
2606.45	345.0478	-10.4626
2607.07	345.4234	-10.1000
2607.55	345.7104	-10.2728
2608.10	346.0311	-10.5682
2609.20	346.6720	-9.2671
2609.75	346.9921	-10.7122
2610.30	347.3258	-9.5386
2610.91	347.6716	-9.0000
2611.40	347.9595	-9.0748
2611.40	347.9595	-9.0748
2611.95	348.2839	-9.1680
2613.05	348.8958	-9.0111
2613.05	348.8958	-9.9478
2614.11	349.5381	-8.8000
2614.15	349.5622	-9.5528
2617.98	351.6539	-7.3000
2621.81	353.8546	-8.0000
2625.65	356.1146	-6.4000
2628.92	358.2734	-7.8000
2632.17	360.4572	-10.4000
2633.40	361.2771	-11.2369
2635.42	362.5871	-10.1000
2638.67	364.6281	-10.3000
2642.02	366.6192	-10.8000
2645.86	368.9869	-9.7000
2649.19	370.9900	-9.6000
2653.01	373.2984	-9.8000
2656.84	375.3823	-8.9000
2660.75	377.4636	-8.6000
2664.07	379.4425	-8.9000
2667.90	381.5303	-7.5000
2667.95	381.5573	-9.4000
2670.69	382.9395	-8.0000
2673.46	384.2497	-7.5000
2678.99	386.9579	-8.6000
2681.74	388.2961	-6.9000
2687.31	390.9811	-8.5000
2690.06	392.5858	-9.3000
2692.88	394.0792	-5.7000
2694.04	394.6754	-7.4000
2695.70	395.4768	-7.1000
2698.51	396.7294	-5.3000
2698.54	396.7422	-8.0500
2702.99	398.5762	-7.0500
2707.42	400.2541	-5.6500
2711.80	401.9004	-5.0000
2716.20	403.4408	-5.0000
2720.54	404.8786	-4.5500
2724.85	406.2582	-5.1000
2729.13	407.6644	-6.3000
2733.35	409.0294	-6.3500
2737.62	410.4235	-6.2000
2740.65	411.4506	-7.2651
2740.65	411.4506	-7.2651
2741.75	411.8218	-7.5344
2741.75	411.8218	-7.5344
2741.88	411.8673	-6.5500
2742.30	412.0144	-7.8069
2742.30	412.0144	-7.8069
2742.85	412.2129	-8.1102
2742.85	412.2129	-8.1102
2743.95	412.6047	-8.5288
2743.95	412.6047	-8.5288
2744.50	412.8049	-8.5998
2745.60	413.2081	-8.1085
2746.15	413.4119	-8.0015
2746.18	413.4229	-7.7000
2747.25	413.8132	-7.8544
2747.80	414.0188	-8.5916
2749.45	414.6839	-8.4250
2750.00	414.9060	-8.9075
2750.00	414.9060	-8.9075
2750.51	415.1161	-7.9000
2750.55	415.1325	-8.0032
2751.10	415.3433	-9.0411
2751.10	415.3433	-9.0411
2752.20	415.7885	-8.9622
2752.20	415.7885	-8.9622
2752.75	416.0083	-8.2270
2753.30	416.2313	-9.5834
2754.40	416.6995	-9.4108
2754.84	416.8814	-8.5500
2754.95	416.9269	-7.8556
2755.50	417.1600	-8.6345
2756.05	417.3945	-10.5434
2757.70	418.0824	-8.9993
2758.25	418.3191	-8.3932
2758.80	418.5454	-9.0123
2759.09	418.6678	-8.6500
2761.00	419.4595	-10.1927
2762.65	420.1640	-11.4674
2763.45	420.5205	-9.4000
2763.75	420.6562	-10.0478
2764.30	420.8853	-9.3908
2765.40	421.3883	-8.7433
2765.95	421.6373	-10.2996
2766.50	421.8978	-10.0213
2767.79	422.5004	-9.9500
2769.25	423.2187	-10.4355
2770.35	423.7893	-9.0486
2770.90	424.0847	-8.7403
2771.45	424.3699	-9.1171
2772.00	424.6511	-9.3073
2772.00	424.6511	-9.3073
2772.18	424.7480	-8.7000
2773.10	425.2487	-8.8751
2773.65	425.5360	-9.9321
2774.20	425.8293	-8.5048
2774.75	426.0965	-9.5381
2775.30	426.3397	-8.2995
2775.85	426.5778	-7.7633
2776.43	426.8387	-8.9000
2776.95	427.0811	-8.7387
2777.50	427.3541	-9.0843
2778.05	427.6287	-10.4613
2778.60	427.9274	-8.7772
2779.70	428.5559	-8.2811
2780.25	428.8792	-8.8332
2780.80	429.2223	-7.9612
2781.18	429.4867	-8.7000
2781.35	429.6050	-8.8326
2782.45	430.4170	-8.8184
2784.29	431.9374	-8.7000
2785.20	432.8238	-7.0358
2785.75	433.3802	-8.1722
2786.11	433.7583	-7.6500
2786.30	433.9579	-7.7943
2786.85	434.5214	-7.5015
2787.40	435.0985	-8.1317
2787.95	435.6675	-8.6000
2789.05	436.7929	-7.1949
2789.09	436.8378	-7.6000
2789.60	437.4105	-7.6579
2790.15	438.0096	-8.9771
2790.15	438.0096	-8.9771
2790.70	438.6456	-6.2731
2790.99	438.9540	-7.1000
2791.25	439.2304	-8.1982
2791.80	439.8345	-7.4054
2792.35	440.4802	-8.5878
2793.28	441.5912	-6.3000
2793.45	441.7889	-8.5674
2794.00	442.4231	-7.9340
2794.55	443.0699	-7.6047
2795.65	444.3352	-8.3825
2795.74	444.4395	-7.4500
2796.20	444.9724	-8.5261
2796.75	445.6139	-8.8733
2797.85	446.8158	-10.0799
2798.47	447.5167	-7.6000
2800.13	449.3690	-8.8500
2804.29	453.8543	-9.6000
2806.81	456.7052	-7.2000
2808.45	458.5071	-9.4500
2811.01	461.6210	-9.8000
2812.57	463.6523	-6.6000
2814.57	466.0549	-4.7000
2816.86	468.7580	-8.0000
2816.86	468.7580	-6.1500
2819.03	471.4474	-9.7000
2821.25	473.9132	-4.2000
2823.40	475.7995	-7.2000
2825.62	477.9546	-7.2000
2827.72	479.8237	-4.5000
2830.15	481.8478	-2.6000
2832.44	483.8047	-2.7000
2834.70	485.5832	-3.4000
2836.96	487.2234	-4.0000
2838.28	488.1464	-6.9247
2839.79	489.1778	-4.9000
2841.84	490.4837	-2.2000
2843.67	491.5939	-6.0000
2845.34	492.6175	-6.1000
2845.43	492.6732	-7.5118
2848.61	494.7611	-6.2000
2851.92	497.0235	-7.2000
2854.68	498.9222	-6.4000
2858.00	501.1805	-3.7000
