/* DATA DESCRIPTION:
Citation:	Bouchet, Marie; Grisart, Antoine; Landais, Amaëlle; Prié, Frédéric; Jacob, Roxanne; Fourré, Elise (2023): δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.961024, 
	In: Bouchet, M et al. (2023): δO2/N2 and δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.961023
Keyword(s):	Antarctica; Elemental ratios; EPICA Dome C ice core; Gas; Ice core; Isotope ratio; Termination
Related to:	Bazin, Lucie; Landais, Amaëlle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus Christian; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus Christian (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Extier, Thomas; Landais, Amaëlle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus Christian (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
	Landais, Amaëlle; Dreyfus, Gabrielle; Capron, Emilie; Pol, Katy; Loutre, Marie-France; Raynaud, Dominique; Lipenkov, Vladimir Ya; Arnaud, Laurent; Masson-Delmotte, Valerie; Paillard, Didier; Jouzel, Jean; Leuenberger, Markus Christian (2012): Towards orbital dating of the EPICA Dome C ice core using dO2/N2. Climate of the Past, 8(1), 191-203, https://doi.org/10.5194/cp-8-191-2012
Funding:	European Research Council (ERC), grant/award no. 817493: ICORDA - Ice CORe DAting tools revisited to infer the dynamic of glacial – interglacial transitions over the last 1.5 million years (URI: https://doi.org/10.3030/817493)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1410.770 m * MAXIMUM DEPTH, ice/snow: 3191.140 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Antarctic ice core chronology (AICC2023) (URI: https://doi.org/10.5194/cp-19-2257-2023)
	δ18O, gas [‰] (δ18O-O2) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS), Thermo Scientific, Delta 219 V * COMMENT: of O2
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	2756 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	δ18O-O2 [‰]
1675.300	126.5123	-0.1501
1677.520	126.6986	-0.1778
1679.700	126.8555	-0.0721
1683.020	127.0914	-0.0436
1684.100	127.1843	-0.0784
1685.770	127.3308	0.0223
1688.500	127.5572	0.0406
1691.280	127.7506	0.1220
1694.020	127.9304	0.1731
1696.770	128.1233	0.2031
1697.300	128.1596	0.2413
1699.520	128.3149	0.3532
1702.250	128.4853	0.4249
1702.270	128.4864	0.3938
1705.530	128.6570	0.4567
1706.650	128.7163	0.5051
1707.770	128.7816	0.5000
1710.500	128.9434	0.6898
1710.520	128.9445	0.5877
1713.270	129.0996	0.6669
1714.900	129.1908	0.8248
1716.020	129.2543	0.7310
1718.770	129.4109	0.8651
1721.520	129.5721	0.8951
1722.600	129.6354	0.9360
1724.270	129.7322	0.9086
1726.450	129.8597	0.9800
1727.020	129.8938	0.9565
1729.770	130.0669	1.0164
1730.300	130.1004	1.0384
1732.700	130.2500	0.9775
1733.600	130.3085	1.0070
1735.270	130.4161	1.0357
1736.350	130.4817	0.9564
1738.020	130.5805	1.0114
1740.770	130.7299	0.9978
1742.400	130.8179	1.0642
1743.520	130.8866	1.0778
1745.150	130.9982	1.1394
1746.270	131.0870	1.1727
1747.900	131.2245	1.0848
1749.020	131.3229	1.1448
1750.650	131.4623	1.1964
1751.770	131.5495	1.0837
1753.950	131.7056	1.1026
1754.520	131.7473	1.1402
1755.600	131.8299	1.1069
1758.350	132.0637	1.1179
1760.180	132.2577	1.0715
1761.100	132.3553	1.1139
1762.770	132.5311	1.0532
1764.950	132.7452	1.1163
1765.520	132.7977	1.1226
1766.600	132.9008	1.1933
1768.270	133.0713	1.0630
1768.800	133.1299	1.0986
1770.450	133.3418	1.0770
1772.100	133.5706	1.0914
1773.750	133.7903	1.1347
1773.830	133.8014	1.0170
1775.400	134.0058	1.0859
1776.520	134.1547	1.0651
1777.050	134.2288	1.0926
1779.370	134.5588	0.9910
1782.000	134.9706	1.0353
1782.020	134.9740	1.0444
1783.650	135.2556	1.0766
1784.750	135.4514	1.0863
1784.770	135.4550	1.0209
1784.840	135.4678	0.9927
1786.400	135.7665	1.0220
1787.520	135.9945	1.0027
1787.580	136.0066	0.9685
1788.600	136.2126	1.0174
1789.150	136.3180	1.0357
1790.420	136.5826	0.9750
1791.900	136.8975	1.0636
1793.020	137.1055	0.9777
1795.830	137.5817	0.9745
1801.330	138.5366	0.9150
1804.570	139.2037	0.9340
1806.830	139.6653	0.9230
1809.520	140.2230	0.8896
1812.410	140.7992	0.8520
1815.080	141.3320	0.8025
1817.770	141.8758	0.7974
1817.830	141.8878	0.7760
1823.330	143.0481	0.6570
1828.830	144.1719	0.6465
1834.380	145.1796	0.6440
1839.770	146.2147	0.5580
1845.330	147.3163	0.5585
1867.270	151.6361	0.7282
1870.020	152.1936	0.6892
1872.230	152.6528	0.6343
1875.000	153.1788	0.7829
1877.750	153.6493	0.7022
1879.950	154.0401	0.7787
1880.500	154.1372	0.7195
1882.150	154.4561	0.8176
1884.900	155.0557	0.7110
1886.000	155.3335	0.6962
1887.650	155.7528	0.7768
1888.750	156.0300	0.7671
1889.850	156.3037	0.7170
1891.450	156.7317	0.6100
1891.500	156.7452	0.7207
1893.150	157.1561	0.7532
1894.250	157.4116	0.6349
1895.350	157.6548	0.6613
1901.900	159.0821	0.5750
1902.500	159.2080	0.6822
1904.070	159.4946	0.7016
1904.150	159.5080	0.6891
1909.650	160.3988	0.7507
1910.200	160.4934	0.7718
1912.400	160.9073	0.6852
1913.500	161.1288	0.6915
1914.520	161.3580	0.6950
1915.150	161.5077	0.6542
1916.250	161.7802	0.5611
1917.350	162.0517	0.5082
1919.000	162.4383	0.5953
1921.750	163.0303	0.4387
1923.320	163.3439	0.5804
1923.950	163.4624	0.5789
1926.150	163.8654	0.5646
1927.250	164.0798	0.5021
1928.350	164.2817	0.5208
1930.000	164.6297	0.4861
1931.650	165.0072	0.4238
1933.850	165.5266	0.3148
1935.480	165.9304	0.1599
1937.150	166.3551	0.2081
1937.700	166.4934	0.1214
1941.000	167.3091	0.0427
1943.150	167.7604	-0.0796
1943.670	167.8552	-0.0160
1944.850	168.0763	-0.0228
1946.480	168.3557	-0.1437
1946.500	168.3588	-0.0234
1948.150	168.6049	-0.0523
1949.250	168.7632	-0.0514
1950.350	168.9303	0.0123
1950.900	169.0164	-0.0199
1953.570	169.5041	-0.0471
1954.200	169.6291	-0.0015
1956.400	170.1338	-0.0609
1959.150	170.7878	-0.1446
1963.470	171.7777	-0.1830
1965.150	172.1502	-0.2763
1968.500	172.8495	-0.1417
1970.150	173.2210	-0.0759
1971.250	173.4882	-0.0496
1972.820	173.8756	-0.0410
1972.850	173.8831	-0.1073
1974.000	174.1635	-0.0350
1975.650	174.5725	-0.0350
1976.750	174.8454	-0.0440
1979.480	175.4877	-0.1100
1980.050	175.6181	-0.0238
1982.170	176.0960	0.0240
1982.250	176.1140	-0.0221
1983.350	176.3636	0.0576
1985.000	176.7824	0.0977
1986.650	177.2348	0.1588
1992.070	178.4656	0.3135
1993.230	178.6789	0.2979
1995.430	179.0840	0.4377
1995.950	179.1737	0.3993
1997.650	179.4912	0.6259
1998.750	179.7183	0.6282
2001.450	180.3068	0.6580
2001.500	180.3186	0.7713
2003.150	180.7231	0.6719
2004.250	181.0106	0.7156
2005.350	181.3011	0.7425
2007.000	181.7461	0.6617
2008.570	182.2033	0.7464
2009.200	182.3923	0.7557
2011.400	183.0143	0.7575
2012.500	183.2868	0.6847
2014.150	183.7055	0.7680
2016.820	184.3729	0.7277
2020.150	185.2033	0.6152
2022.400	185.7726	0.7412
2023.500	186.0248	0.7206
2026.720	186.7321	0.5784
2026.750	186.7385	0.4317
2030.050	187.4455	0.5142
2031.150	187.6891	0.0720
2032.800	188.0593	0.3965
2034.450	188.4086	0.2330
2036.100	188.7486	0.1107
2036.620	188.8515	0.3737
2038.850	189.2388	0.3366
2039.950	189.4058	0.1790
2041.600	189.6479	0.3072
2042.700	189.7982	0.3201
2044.350	190.0489	0.0684
2045.420	190.2413	0.2902
2046.000	190.3497	0.2525
2047.650	190.7005	0.2223
2052.050	191.7529	-0.0273
2052.600	191.9008	-0.0110
2053.150	192.0461	-0.0076
2054.770	192.5168	-0.1382
2054.800	192.5253	-0.1090
2055.900	192.8184	-0.1260
2056.480	192.9611	-0.1722
2057.550	193.2049	-0.0415
2058.650	193.4247	-0.0759
2060.300	193.6962	-0.1144
2061.950	193.9296	-0.0812
2063.600	194.1811	-0.0870
2064.150	194.2859	-0.0974
2064.670	194.3900	-0.0659
2066.350	194.7516	-0.1189
2068.000	195.1560	-0.0778
2069.650	195.5758	-0.1944
2069.680	195.5834	-0.1643
2071.300	195.9752	-0.2019
2072.400	196.2153	-0.2048
2072.950	196.3306	-0.1987
2075.670	196.8350	-0.1893
2075.700	196.8400	-0.1932
2078.450	197.2711	-0.1703
2080.650	197.6517	-0.1602
2080.650	197.6517	-0.1727
2082.300	197.9618	-0.1591
2083.950	198.2880	-0.1446
2084.530	198.4083	-0.1338
2086.180	198.7505	-0.0450
2087.800	199.0816	-0.0819
2088.320	199.1796	-0.0385
2089.450	199.3911	-0.0543
2091.650	199.7485	0.0845
2092.200	199.8318	0.0080
2093.300	199.9791	0.0534
2095.500	200.1978	0.0915
2097.150	200.3703	0.1952
2099.900	200.7568	0.2218
2100.970	200.9400	0.3218
2101.000	200.9453	0.2550
2101.550	201.0440	0.4500
2102.100	201.1465	0.3339
2103.200	201.3417	0.3347
2103.750	201.4327	0.3789
2104.850	201.6141	0.3921
2105.950	201.7884	0.5192
2107.050	201.9590	0.4987
2108.150	202.1299	0.5092
2108.180	202.1347	0.4599
2109.800	202.4091	0.5397
2111.420	202.7336	0.5588
2111.450	202.7402	0.5325
2113.650	203.2005	0.5083
2115.850	203.6648	0.5515
2117.500	203.9892	0.5502
2119.150	204.3065	0.4962
2119.150	204.3065	0.5728
2120.800	204.6374	0.5161
2121.870	204.8670	0.5312
2122.450	204.9964	0.5081
2124.100	205.3789	0.5334
2124.650	205.5043	0.4977
2125.750	205.7537	0.5090
2127.400	206.0879	0.5275
2129.050	206.4054	0.4897
2132.350	206.9734	0.5243
2132.870	207.0574	0.3363
2134.550	207.3344	0.5074
2136.200	207.6141	0.4733
2137.850	207.8856	0.4600
2140.050	208.2457	0.4803
2143.350	208.8166	0.4188
2146.070	209.2738	0.4425
2146.100	209.2787	0.4058
2147.750	209.5467	0.3791
2149.950	209.9134	0.3474
2151.600	210.1863	0.3079
2155.450	210.7970	0.2971
2157.100	211.0310	0.1817
2158.170	211.1744	0.1709
2158.750	211.2481	0.1891
2160.950	211.5288	0.0862
2166.450	212.4376	-0.0204
2168.100	212.7246	-0.0339
2170.300	213.0877	-0.0807
2171.950	213.3474	-0.0546
2173.600	213.5950	-0.0529
2178.000	214.2925	-0.0347
2179.650	214.5673	-0.0685
2181.850	214.9843	-0.0411
2182.400	215.1015	-0.0029
2182.920	215.2073	-0.0348
2183.500	215.3194	-0.0020
2185.700	215.7592	0.0025
2188.450	216.2441	0.0905
2190.100	216.4802	-0.0662
2190.650	216.5535	-0.1685
2192.850	216.8566	0.1484
2193.980	217.0355	0.1918
2194.500	217.1246	0.1782
2197.250	217.6500	0.1672
2198.900	217.9877	0.1339
2200.000	218.2114	0.1241
2202.170	218.6734	0.1142
2203.850	219.0127	0.1209
2204.400	219.1232	0.1450
2204.950	219.2423	0.1415
2206.050	219.4837	0.1314
2207.150	219.7467	0.1312
2208.250	220.0144	0.1468
2209.870	220.4097	0.1733
2210.450	220.5423	0.1552
2211.550	220.7881	0.2112
2212.650	221.0153	0.2333
2213.750	221.2346	0.2668
2214.850	221.4590	0.3100
2215.950	221.6831	0.3106
2216.470	221.7922	0.3688
2217.050	221.9202	0.3396
2219.800	222.6438	0.3944
2220.900	222.9956	0.4140
2222.000	223.4032	0.4632
2223.070	223.7702	0.5117
2223.650	223.9758	0.4872
2224.750	224.3526	0.5627
2225.850	224.7173	0.5710
2226.950	225.0567	0.5775
2228.050	225.3674	0.5917
2230.220	225.9586	0.6687
2230.250	225.9672	0.6505
2232.450	226.6346	0.8799
2233.000	226.7973	0.7858
2234.100	227.0896	0.8102
2235.750	227.4825	0.8241
2236.820	227.7305	0.8918
2236.850	227.7374	0.9116
2237.950	228.0230	0.9114
2238.500	228.1735	0.9493
2240.700	228.7874	0.9279
2241.800	229.1197	0.8286
2242.900	229.4475	0.7738
2243.420	229.6056	0.7561
2244.000	229.7865	0.7078
2245.100	230.1297	0.7359
2246.200	230.4593	0.6420
2248.400	231.0291	0.6519
2249.500	231.3083	0.6794
2251.120	231.7647	0.6204
2251.150	231.7738	0.6333
2252.250	232.1016	0.6241
2253.350	232.4211	0.5906
2254.450	232.7215	0.5815
2256.100	233.1240	0.5451
2257.200	233.3652	0.5775
2258.850	233.7245	0.4963
2259.370	233.8419	0.5601
2261.620	234.3968	0.5404
2262.720	234.6838	0.4649
2263.820	234.9702	0.4527
2264.350	235.1093	0.4390
2266.000	235.5562	0.3753
2266.030	235.5644	0.3545
2267.120	235.8542	0.2696
2268.170	236.1073	0.2863
2268.720	236.2344	0.3011
2268.750	236.2413	0.3215
2270.400	236.6019	0.2523
2270.430	236.6083	0.2477
2271.530	236.8384	0.1557
2272.050	236.9407	0.1864
2272.570	237.0406	0.1475
2273.670	237.2683	0.0528
2273.700	237.2745	0.1218
2274.800	237.4955	0.0805
2274.880	237.5117	0.0638
2275.870	237.7101	0.0782
2275.930	237.7222	0.0538
2276.450	237.8276	-0.0104
2277.120	237.9649	-0.0152
2279.170	238.3675	-0.0115
2279.360	238.4060	-0.0350
2279.750	238.4852	-0.0206
2280.820	238.6923	-0.0236
2281.400	238.8010	0.0091
2281.430	238.8067	-0.0211
2283.050	239.1204	-0.0367
2283.720	239.2501	-0.0361
2285.180	239.5287	-0.0386
2285.250	239.5418	0.0721
2285.770	239.6390	0.0346
2286.900	239.8571	-0.0340
2288.120	240.0802	-0.0070
2289.590	240.3591	0.0204
2290.320	240.4862	0.0278
2291.270	240.6413	0.0597
2291.850	240.7402	0.0364
2292.530	240.8608	0.1100
2293.530	241.0345	0.1339
2294.570	241.2168	0.1544
2294.730	241.2457	0.1564
2295.670	241.4139	0.2496
2295.700	241.4192	0.1827
2296.930	241.6281	0.2287
2297.900	241.7850	0.2838
2297.930	241.7895	0.2771
2298.970	241.9433	0.4281
2300.070	242.0976	0.4591
2300.100	242.1017	0.3644
2301.380	242.2775	0.4545
2302.300	242.3966	0.4833
2302.330	242.4001	0.5223
2303.570	242.5403	0.5823
2306.150	242.8415	0.6834
2308.900	243.1980	0.7459
2310.550	243.4349	0.7378
2311.650	243.6013	0.7405
2313.300	243.8656	0.7709
2315.500	244.2310	0.7338
2316.600	244.4167	0.7210
2317.150	244.5147	0.7642
2318.250	244.7135	0.6762
2319.350	244.9320	0.6886
2320.450	245.1611	0.6859
2321.550	245.3903	0.6546
2323.200	245.7552	0.6384
2324.300	246.0164	0.6297
2325.400	246.2972	0.6206
2326.500	246.5987	0.6015
2327.050	246.7514	0.5761
2328.150	247.0865	0.5525
2329.800	247.6499	0.5677
2330.350	247.8314	0.5866
2331.450	248.1719	0.6273
2332.000	248.3308	0.6151
2333.100	248.6459	0.6819
2333.650	248.7956	0.7113
2334.750	249.0981	0.7639
2335.300	249.2569	0.7343
2336.400	249.5848	0.8106
2337.500	249.9350	0.7735
2338.600	250.3175	0.7789
2339.150	250.5223	0.7898
2340.250	250.9434	0.7238
2341.900	251.5878	0.7241
2343.000	251.9984	0.8426
2343.550	252.2012	0.7401
2344.100	252.4163	0.7308
2344.650	252.6335	0.7262
2345.750	253.0541	0.7529
2346.850	253.4548	0.7857
2347.950	253.8603	0.6324
2348.500	254.0711	0.6247
2349.600	254.4770	0.6164
2349.620	254.4842	0.6206
2350.150	254.6749	0.4019
2350.150	254.6749	0.6313
2351.110	255.0264	0.6131
2351.250	255.0787	0.4937
2351.880	255.3256	0.5860
2352.350	255.5077	0.3890
2352.870	255.7051	0.5767
2353.450	255.9314	0.3732
2354.000	256.1475	0.5091
2354.550	256.3626	0.4337
2355.650	256.7941	0.3282
2356.750	257.1902	0.2230
2357.850	257.5653	0.3513
2358.920	257.9135	0.5057
2358.950	257.9230	0.1419
2360.050	258.2699	0.1751
2361.150	258.5866	0.2480
2362.250	258.9193	0.1717
2363.350	259.2704	0.1927
2364.420	259.6480	0.4245
2364.450	259.6592	0.2836
2365.550	260.0956	0.3480
2366.650	260.5249	0.1367
2367.750	260.9233	0.2114
2368.850	261.3667	0.2279
2369.950	261.8417	0.2099
2370.470	262.0454	0.3061
2372.150	262.6808	0.2768
2373.250	263.1155	0.2155
2374.350	263.5370	0.2150
2375.450	263.9659	0.2200
2376.520	264.3781	0.4243
2376.550	264.3901	0.2699
2377.650	264.7861	0.4310
2378.750	265.1694	0.3916
2379.850	265.5711	0.4603
2380.950	265.9842	0.4595
2382.050	266.3862	0.4630
2383.150	266.8019	0.3904
2385.350	267.6271	0.5045
2386.450	268.0728	0.4301
2386.970	268.2849	0.6059
2387.550	268.5111	0.5224
2388.650	268.9375	0.4660
2389.750	269.3972	0.5415
2390.850	269.8583	0.5105
2391.920	270.3089	0.6736
2391.950	270.3216	0.5340
2393.050	270.7974	0.5504
2394.150	271.2899	0.4634
2395.250	271.7925	0.5358
2396.320	272.2740	0.6908
2396.350	272.2875	0.6080
2397.450	272.7643	0.5798
2398.550	273.2628	0.6123
2399.650	273.7420	0.5660
2400.750	274.2123	0.5454
2401.270	274.4293	0.6929
2401.850	274.6679	0.5282
2402.950	275.1098	0.5978
2404.050	275.5420	0.5205
2405.150	275.9728	0.5145
2406.220	276.3978	0.7137
2406.250	276.4098	0.4598
